,IMDBId,movie title,language,country,runtime (mins),mpaarating,metacritic score,budget,distributionCompany,Awards,Total_Noms,writer1,writer2,director,Lead_Actor,Supporting_Actor_1,Supporting_Actor_2,genre,main_genre,subgenre,release_date,season
2253,tt3544082,45 Years,English,UK,91,R,94.0,,Sundance Selects,Best Performance by an Actress in a Leading Role,1,Andrew Haigh,David Constantine,Andrew Haigh,Charlotte Rampling,Tom Courtenay,Geraldine James,Drama' 'Romance,Drama,Romance,2015-08-28,Summer
2254,tt1727824,Bohemian Rhapsody,English,UK,134,PG-13,49.0,52000000.0,Twentieth Century Fox,Best Motion Picture of the Year,5,Anthony McCarten,Peter Morgan,Bryan Singer,Rami Malek,Lucy Boynton,Gwilym Lee,Biography' 'Drama,Biography,Drama,2018-11-02,Fall
2260,tt0090985,The Decline of the American Empire,French,Canada,101,R,60.0,,Cineplex Odeon Films,Best Foreign Language Film,1,Denys Arcand,Gabriel Arcand,Denys Arcand,Dominique Michel,Dorothée Berryman,Louise Portal,Comedy' 'Drama,Comedy,Drama,1986-11-14,Fall
2261,tt1164999,Biutiful,Spanish,Mexico,148,R,58.0,8000000.0,LD Entertainment,Best Performance by an Actor in a Leading Role,2,Alejandro G. Iñárritu,Alejandro G. Iñárritu,Alejandro G. Iñárritu,Javier Bardem,Maricel Álvarez,Hanaa Bouchaib,Drama' 'Romance,Drama,Romance,2011-02-04,Winter
2265,tt3281548,Little Women,English,USA,135,PG,91.0,40000000.0,Columbia Pictures,Best Motion Picture of the Year,9,Greta Gerwig,Louisa May Alcott,Greta Gerwig,Saoirse Ronan,Emma Watson,Florence Pugh,Drama' 'Romance,Drama,Romance,2019-12-25,Winter
2271,tt0120885,Wag the Dog,English,USA,97,R,73.0,15000000.0,New Line Cinema,Best Actor in a Leading Role,2,Larry Beinhart,Hilary Henkin,Barry Levinson,Dustin Hoffman,Robert De Niro,Anne Heche,Comedy' 'Drama,Comedy,Drama,1998-01-09,Winter
2276,tt6394270,Bombshell,English,Canada,109,R,64.0,32000000.0,Lionsgate,Best Performance by an Actress in a Leading Role,3,Charles Randolph,,Jay Roach,Charlize Theron,Nicole Kidman,Margot Robbie,Biography' 'Drama,Biography,Drama,2019-12-20,Winter
2279,tt0478134,In the Valley of Elah,English,USA,121,R,65.0,15260000.0,Warner Independent Pictures,Best Performance by an Actor in a Leading Role,1,Paul Haggis,Mark Boal,Paul Haggis,Tommy Lee Jones,Charlize Theron,Jonathan Tucker,Crime' 'Drama,Crime,Drama,2007-09-28,Fall
2280,tt0119217,Good Will Hunting,English,USA,126,R,70.0,10000000.0,Miramax,Best Actor in a Leading Role,9,Matt Damon,Ben Affleck,Gus Van Sant,Robin Williams,Matt Damon,Ben Affleck,Drama' 'Romance,Drama,Romance,1998-01-09,Winter
2289,tt0081974,Absence of Malice,English,USA,116,PG,64.0,12000000.0,Columbia Pictures,Best Actor in a Leading Role,3,Kurt Luedtke,,Sydney Pollack,Paul Newman,Sally Field,Bob Balaban,Drama' 'Romance,Drama,Romance,1981-12-18,Winter
