,IMDBId,movie title,language,country,runtime (mins),mpaarating,metacritic score,budget,distributionCompany,Awards,Total_Noms,writer1,writer2,director,Lead_Actor,Supporting_Actor_1,Supporting_Actor_2,genre,main_genre,subgenre,release_date,season
3297,tt0385004,House of Flying Daggers,Mandarin,China,119,PG-13,89.0,11364285.714285715,Sony Pictures Classics,Best Achievement in Cinematography,1,Feng Li,Bin Wang,Yimou Zhang,Ziyi Zhang,Takeshi Kaneshiro,Andy Lau,Action' 'Adventure,Action,Adventure,2005-01-14,Winter
3299,tt0090357,Young Sherlock Holmes,English,USA,109,PG-13,65.0,18000000.0,Paramount Pictures,"Best Effects, Visual Effects",1,Arthur Conan Doyle,Chris Columbus,Barry Levinson,Nicholas Rowe,Alan Cox,Sophie Ward,Adventure' 'Fantasy,Adventure,Fantasy,1985-12-04,Winter
3302,tt0170016,How the Grinch Stole Christmas,English,USA,104,PG,46.0,123000000.0,Universal Pictures,Best Art Direction-Set Decoration,3,Dr. Seuss,Jeffrey Price,Ron Howard,Jim Carrey,Taylor Momsen,Kelley,Comedy' 'Family,Comedy,Family,2000-11-17,Fall
3306,tt0099012,Alice,English,USA,106,PG-13,67.0,12000000.0,Orion Pictures,"Best Writing, Screenplay Written Directly for the Screen",1,Woody Allen,,Woody Allen,Mia Farrow,William Hurt,Joe Mantegna,Comedy' 'Romance,Comedy,Romance,1991-01-10,Winter
3307,tt3674140,The Salt of the Earth,French,France,110,PG-13,83.0,11364285.714285715,Sony Pictures Classics,"Best Documentary, Feature",1,Wim Wenders,Juliano Ribeiro Salgado,Juliano Ribeiro Salgado,Sebastião Salgado,Wim Wenders,Lélia Wanick Salgado,Documentary' 'Biography,Documentary,Biography,2015-03-27,Winter
3310,tt0101393,Backdraft,English,USA,137,R,38.0,40000000.0,Universal Pictures,"Best Effects, Sound Effects Editing",3,Gregory Widen,,Ron Howard,Kurt Russell,William Baldwin,Robert De Niro,Action' 'Crime,Action,Crime,1991-05-24,Spring
3315,tt0091064,The Fly,English,USA,96,R,79.0,15000000.0,Twentieth Century Fox,Best Makeup,1,George Langelaan,Charles Edward Pogue,David Cronenberg,Jeff Goldblum,Geena Davis,John Getz,Drama' 'Horror,Drama,Horror,1986-08-15,Summer
3317,tt1646971,How to Train Your Dragon 2,English,USA,102,PG,76.0,145000000.0,Twentieth Century Fox,Best Animated Feature Film of the Year,1,Dean DeBlois,Cressida Cowell,Dean DeBlois,Jay Baruchel,Cate Blanchett,Gerard Butler,Animation' 'Action,Animation,Action,2014-06-13,Summer
3318,tt0079574,Moonraker,English,UK,126,PG,66.0,34000000.0,United Artists,"Best Effects, Visual Effects",1,Christopher Wood,,Lewis Gilbert,Roger Moore,Lois Chiles,Michael Lonsdale,Action' 'Adventure,Action,Adventure,1979-06-29,Summer
3319,tt0126886,Election,English,USA,103,R,83.0,25000000.0,Paramount Pictures,"Best Writing, Screenplay Based on Material Previously Produced or Published",1,Tom Perrotta,Alexander Payne,Alexander Payne,Matthew Broderick,Reese Witherspoon,Chris Klein,Comedy' 'Drama,Comedy,Drama,1999-05-07,Spring
3321,tt1142977,Frankenweenie,English,USA,87,PG,74.0,39000000.0,Walt Disney Studios Motion Pictures,Best Animated Feature,1,Leonard Ripps,Tim Burton,Tim Burton,Winona Ryder,"""Catherine O'Hara""",Martin Short,Animation' 'Comedy,Animation,Comedy,2012-10-05,Fall
3322,tt0091757,Pirates,English,France,121,PG-13,32.0,40000000.0,Cannon Film Distributors,Best Costume Design,1,John Brownjohn,Gérard Brach,Roman Polanski,Walter Matthau,Cris Campion,Damien Thomas,Adventure' 'Comedy,Adventure,Comedy,1986-07-18,Summer
3323,tt0120595,Babe: Pig in the City,English,Australia,97,PG,68.0,90000000.0,Universal Pictures,"Best Music, Original Song",1,George Miller,Judy Morris,George Miller,Magda Szubanski,Elizabeth Daily,Mickey Rooney,Adventure' 'Comedy,Adventure,Comedy,1998-11-25,Fall
3325,tt1212419,Hereafter,English,USA,129,PG-13,56.0,50000000.0,Warner Bros.,Best Achievement in Visual Effects,1,Peter Morgan,,Clint Eastwood,Matt Damon,Cécile de France,Bryce Dallas Howard,Drama' 'Fantasy,Drama,Fantasy,2010-10-22,Fall
3326,tt2488496,Star Wars: Episode VII - The Force Awakens,English,USA,138,PG-13,80.0,245000000.0,Walt Disney Studios Motion Pictures,Best Achievement in Film Editing,5,Lawrence Kasdan,J.J. Abrams,J.J. Abrams,Daisy Ridley,John Boyega,Oscar Isaac,Action' 'Adventure,Action,Adventure,2015-12-18,Winter
3331,tt0424024,Darwin's Nightmare,English,Austria,107,Unrated,84.0,,International Film Circuit,"Best Documentary, Features",1,Hubert Sauper,,Hubert Sauper,"""Elizabeth 'Eliza' Maganga Nsese""",Raphael Tukiko Wagara,Dimond Remtulia,Documentary,Documentary,,,Fall
3337,tt0088414,The Woman in Red,English,USA,87,PG-13,55.0,13241176.470588235,Orion Pictures,"Best Music, Original Song",1,Jean-Loup Dabadie,Yves Robert,Gene Wilder,Gene Wilder,Kelly LeBrock,Charles Grodin,Comedy' 'Romance,Comedy,Romance,1984-08-15,Summer
3338,tt2328900,Mary Queen of Scots,English,UK,124,R,60.0,25000000.0,Focus Features,Best Achievement in Costume Design,2,Beau Willimon,John Guy,Josie Rourke,Saoirse Ronan,Margot Robbie,Jack Lowden,Biography' 'Drama,Biography,Drama,2018-12-21,Winter
3340,tt0099582,Flatliners,English,USA,115,R,55.0,26000000.0,Columbia Pictures,"Best Effects, Sound Effects Editing",1,Peter Filardi,,Joel Schumacher,Kiefer Sutherland,Kevin Bacon,Julia Roberts,Drama' 'Horror,Drama,Horror,1990-08-10,Summer
3341,tt0092099,Top Gun,English,USA,110,PG,50.0,15000000.0,Paramount Pictures,"Best Effects, Sound Effects Editing",4,Jim Cash,Jack Epps Jr.,Tony Scott,Tom Cruise,Tim Robbins,Kelly McGillis,Action' 'Drama,Action,Drama,1986-05-16,Spring
3345,tt0085656,Heart Like a Wheel,English,USA,113,PG,74.0,52170833.333333336,Twentieth Century Fox,Best Costume Design,1,Ken Friedman,Joan McCall,Jonathan Kaplan,Bonnie Bedelia,Beau Bridges,Bruce Barlow,Biography' 'Drama,Biography,Drama,1983-04-01,Spring
3346,tt0780504,Drive,English,USA,100,R,78.0,15000000.0,FilmDistrict,Best Achievement in Sound Editing,1,Hossein Amini,James Sallis,Nicolas Winding Refn,Ryan Gosling,Carey Mulligan,Bryan Cranston,Crime' 'Drama,Crime,Drama,2011-09-16,Fall
3348,tt0417741,Harry Potter and the Half-Blood Prince,English,UK,153,PG,78.0,250000000.0,Warner Bros.,Best Achievement in Cinematography,1,Steve Kloves,J.K. Rowling,David Yates,Daniel Radcliffe,Emma Watson,Rupert Grint,Action' 'Adventure,Action,Adventure,2009-07-15,Summer
3349,tt0259711,Vanilla Sky,English,USA,136,R,45.0,68000000.0,Paramount Pictures,"Best Music, Original Song",1,Alejandro Amenábar,Mateo Gil,Cameron Crowe,Tom Cruise,Penélope Cruz,Cameron Diaz,Fantasy' 'Mystery,Fantasy,Mystery,2001-12-14,Winter
3351,tt0441773,Kung Fu Panda,English,USA,92,PG,74.0,130000000.0,Paramount Pictures,Best Animated Feature Film of the Year,1,Jonathan Aibel,Glenn Berger,Mark Osborne,Jack Black,Ian McShane,Angelina Jolie,Animation' 'Action,Animation,Action,2008-06-06,Summer
3354,tt0083641,Best Friends,English,USA,116,PG,70.0,15000000.0,Warner Bros.,"Best Music, Original Song",1,Valerie Curtin,Barry Levinson,Norman Jewison,Burt Reynolds,Goldie Hawn,Jessica Tandy,Comedy' 'Drama,Comedy,Drama,1982-12-17,Winter
3355,tt0240885,Scottsboro: An American Tragedy,English,USA,84,Unrated,74.0,,Public Broadcasting Service,"Best Documentary, Features",1,Barak Goodman,Kay Boyle,Barak Goodman,Frances McDormand,Stanley Tucci,Andre Braugher,Documentary' 'History,Documentary,History,,Fall
3356,tt0275847,Lilo & Stitch,English,USA,85,PG,73.0,80000000.0,Buena Vista Pictures,Best Animated Feature,1,Chris Sanders,Chris Sanders,Dean DeBlois,Daveigh Chase,Chris Sanders,Tia Carrere,Animation' 'Adventure,Animation,Adventure,2002-06-21,Summer
3357,tt1579361,Chasing Ice,English,USA,75,PG-13,75.0,,Submarine Deluxe,"Best Achievement in Music Written for Motion Pictures, Original Song",1,Mark Monroe,,Jeff Orlowski,James Balog,Svavar Jónatansson,Louie Psihoyos,Documentary' 'Biography,Documentary,Biography,2012-12-14,Winter
3358,tt3455224,Virunga,English,UK,100,Not Rated,95.0,88800000.0,Netflix,"Best Documentary, Feature",1,Orlando von Einsiedel,,Orlando von Einsiedel,André Bauma,Emmanuel de Merode,Mélanie Gouby,Documentary' 'War,Documentary,War,2014-11-07,Fall
3360,tt0312004,Wallace & Gromit: The Curse of the Were-Rabbit,English,UK,85,G,87.0,30000000.0,DreamWorks Distribution,Best Animated Feature Film of the Year,1,Steve Box,Nick Park,Steve Box,Peter Sallis,Helena Bonham Carter,Ralph Fiennes,Animation' 'Adventure,Animation,Adventure,2005-10-07,Fall
3361,tt1235830,Chico & Rita,Spanish,Spain,94,Not Rated,76.0,8000000.0,GKIDS,Best Animated Feature Film of the Year,1,Ignacio Martínez de Pisón,Fernando Trueba,Tono Errando,Eman Xor Oña,Limara Meneses,Mario Guerra,Animation' 'Crime,Animation,Crime,2010-11-19,Fall
3362,tt1787725,If a Tree Falls: A Story of the Earth Liberation Front,English,USA,85,Unrated,65.0,3950000.0,Oscilloscope,"Best Documentary, Features",1,Marshall Curry,Matthew Hamachek,Marshall Curry,Daniel McGowan,Lisa McGowan,Tim Lewis,Documentary' 'Biography,Documentary,Biography,,Fall
3363,tt0082329,Endless Love,English,USA,116,R,30.0,46170129.883116886,Universal Pictures,"Best Music, Original Song",1,Scott Spencer,Judith Rascoe,Franco Zeffirelli,Brooke Shields,Martin Hewitt,Shirley Knight,Drama' 'Romance,Drama,Romance,1981-07-17,Summer
3364,tt0085549,Flashdance,English,USA,95,R,39.0,4000000.0,Paramount Pictures,Best Cinematography,3,Thomas Hedley Jr.,Joe Eszterhas,Adrian Lyne,Jennifer Beals,Michael Nouri,Lilia Skala,Drama' 'Music,Drama,Music,1983-04-15,Spring
3367,tt0093148,Harry and the Hendersons,English,USA,110,PG,42.0,10000000.0,Universal Pictures,Best Makeup,1,William Dear,Bill Martin,William Dear,John Lithgow,Melinda Dillon,Margaret Langrick,Comedy' 'Family,Comedy,Family,1987-06-05,Summer
3368,tt0079596,My Brilliant Career,English,Australia,100,G,77.0,,Analysis Film Releasing Corporation,Best Costume Design,1,Eleanor Witcombe,Miles Franklin,Gillian Armstrong,Judy Davis,Sam Neill,Wendy Hughes,Biography' 'Drama,Biography,Drama,1979-08-17,Summer
3369,tt0119738,My Best Friend's Wedding,English,USA,105,PG-13,50.0,38000000.0,TriStar Pictures,"Best Music, Original Musical or Comedy Score",1,Ronald Bass,,P.J. Hogan,Julia Roberts,Dermot Mulroney,Cameron Diaz,Comedy' 'Drama,Comedy,Drama,1997-06-20,Summer
3370,tt2771200,Beauty and the Beast,English,USA,129,PG,65.0,160000000.0,Walt Disney Studios Motion Pictures,Best Achievement in Production Design,2,Stephen Chbosky,Evan Spiliotopoulos,Bill Condon,Emma Watson,Dan Stevens,Luke Evans,Family' 'Fantasy,Family,Fantasy,2017-03-17,Winter
3372,tt0418279,Transformers,English,USA,144,PG-13,61.0,150000000.0,Paramount Pictures,Best Achievement in Sound Mixing,3,Roberto Orci,Alex Kurtzman,Michael Bay,Shia LaBeouf,Megan Fox,Josh Duhamel,Action' 'Adventure,Action,Adventure,2007-07-03,Summer
3375,tt0181689,Minority Report,English,USA,145,PG-13,80.0,102000000.0,Twentieth Century Fox,Best Sound Editing,1,Philip K. Dick,Scott Frank,Steven Spielberg,Tom Cruise,Colin Farrell,Samantha Morton,Action' 'Crime,Action,Crime,2002-06-21,Summer
3376,tt0373861,Die Geschichte vom weinenden Kamel,Mongolian,Germany,93,PG,81.0,700000.0,THINKFilm,"Best Documentary, Features",1,Byambasuren Davaa,Batbayar Davgadorj,Byambasuren Davaa,Janchiv Ayurzana,Chimed Ohin,Amgaabazar Gonson,Documentary' 'Drama,Documentary,Drama,2004-07-16,Summer
3377,tt1093824,Encounters at the End of the World,English,USA,99,G,80.0,,Discovery Films,"Best Documentary, Features",1,Werner Herzog,,Werner Herzog,Werner Herzog,Scott Rowland,Stefan Pashov,Documentary,Documentary,,2008-07-18,Summer
3380,tt0118954,Deconstructing Harry,English,USA,96,R,61.0,20000000.0,Fine Line Features,"Best Writing, Screenplay Written Directly for the Screen",1,Woody Allen,,Woody Allen,Woody Allen,Judy Davis,Julia Louis-Dreyfus,Comedy,Comedy,,1998-01-02,Winter
3381,tt0083658,Blade Runner,English,USA,117,R,84.0,28000000.0,Warner Bros.,Best Art Direction-Set Decoration,2,Hampton Fancher,David Webb Peoples,Ridley Scott,Harrison Ford,Rutger Hauer,Sean Young,Action' 'Sci-Fi,Action,Sci-Fi,1982-06-25,Summer
3383,tt3464902,The Lobster,English,Ireland,119,R,82.0,7800000.0,A24,Best Original Screenplay,1,Yorgos Lanthimos,Efthymis Filippou,Yorgos Lanthimos,Colin Farrell,Rachel Weisz,Jessica Barden,Comedy' 'Drama,Comedy,Drama,2015-10-16,Fall
3384,tt0212338,Meet the Parents,English,USA,108,PG-13,73.0,55000000.0,Universal Pictures,"Best Music, Original Song",1,Greg Glienna,Mary Ruth Clarke,Jay Roach,Ben Stiller,Robert De Niro,Teri Polo,Comedy' 'Romance,Comedy,Romance,2000-10-06,Fall
3386,tt0449088,Pirates of the Caribbean: At World's End,English,USA,169,PG-13,50.0,300000000.0,American Broadcasting Company,Best Achievement in Visual Effects,2,Ted Elliott,Terry Rossio,Gore Verbinski,Johnny Depp,Orlando Bloom,Keira Knightley,Action' 'Adventure,Action,Adventure,2007-05-25,Spring
3388,tt0105265,A River Runs Through It,English,USA,123,PG,68.0,12000000.0,Columbia Pictures,Best Cinematography,3,Norman Maclean,Richard Friedenberg,Robert Redford,Craig Sheffer,Brad Pitt,Tom Skerritt,Drama,Drama,,1992-10-30,Fall
3391,tt0116313,The First Wives Club,English,USA,103,PG,58.0,26000000.0,Paramount Pictures,"Best Music, Original Musical or Comedy Score",1,Olivia Goldsmith,Robert Harling,Hugh Wilson,Goldie Hawn,Bette Midler,Diane Keaton,Comedy,Comedy,,1996-09-20,Fall
3392,tt0098575,Valmont,English,France,137,R,55.0,33000000.0,Orion Pictures,Best Costume Design,1,Choderlos de Laclos,Jean-Claude Carrière,Milos Forman,Colin Firth,Annette Bening,Meg Tilly,Drama' 'Romance,Drama,Romance,1989-11-17,Fall
3393,tt0118880,Con Air,English,USA,115,R,52.0,75000000.0,Buena Vista Pictures,"Best Music, Original Song",2,Scott Rosenberg,,Simon West,Nicolas Cage,John Cusack,John Malkovich,Action' 'Crime,Action,Crime,1997-06-06,Summer
3396,tt1398426,Straight Outta Compton,English,USA,147,R,72.0,28000000.0,Universal Pictures,"Best Writing, Original Screenplay",1,Jonathan Herman,Andrea Berloff,F. Gary Gray,"""O'Shea Jackson Jr.""",Corey Hawkins,Jason Mitchell,Biography' 'Drama,Biography,Drama,2015-08-14,Summer
3397,tt1485796,The Greatest Showman,English,USA,105,PG,48.0,84000000.0,Twentieth Century Fox,Best Achievement in Music Written for Motion Pictures (Original Song),1,Jenny Bicks,Bill Condon,Michael Gracey,Hugh Jackman,Michelle Williams,Zac Efron,Biography' 'Drama,Biography,Drama,2017-12-20,Winter
3399,tt1615147,Margin Call,English,USA,107,R,76.0,3500000.0,Lionsgate,"Best Writing, Original Screenplay",1,J.C. Chandor,,J.C. Chandor,Zachary Quinto,Stanley Tucci,Kevin Spacey,Drama' 'Thriller,Drama,Thriller,2011-09-29,Fall
3400,tt0317705,The Incredibles,English,USA,115,PG,90.0,92000000.0,Buena Vista Pictures,"Best Writing, Original Screenplay",4,Brad Bird,,Brad Bird,Craig T. Nelson,Samuel L. Jackson,Holly Hunter,Animation' 'Action,Animation,Action,2004-11-05,Fall
3406,tt0104070,Death Becomes Her,English,USA,104,PG-13,56.0,55000000.0,Universal Pictures,"Best Effects, Visual Effects",1,Martin Donovan,David Koepp,Robert Zemeckis,Meryl Streep,Bruce Willis,Goldie Hawn,Comedy' 'Fantasy,Comedy,Fantasy,1992-07-31,Summer
3407,tt0390521,Super Size Me,English,USA,100,PG-13,73.0,65000.0,Roadside Attractions,"Best Documentary, Features",1,Morgan Spurlock,,Morgan Spurlock,Morgan Spurlock,Daryl Isaacs,Chemeeka Walker,Documentary,Documentary,,2004-06-11,Summer
3409,tt0107290,Jurassic Park,English,USA,127,PG-13,68.0,63000000.0,Universal Pictures,"Best Effects, Sound Effects Editing",3,Michael Crichton,Michael Crichton,Steven Spielberg,Sam Neill,Laura Dern,Jeff Goldblum,Action' 'Adventure,Action,Adventure,1993-06-11,Summer
3412,tt0109831,Four Weddings and a Funeral,English,UK,117,R,81.0,4400000.0,Gramercy Pictures,Best Picture,2,Richard Curtis,,Mike Newell,Hugh Grant,Andie MacDowell,James Fleet,Comedy' 'Drama,Comedy,Drama,1994-04-15,Spring
3414,tt0119843,Oscar and Lucinda,English,USA,132,R,66.0,10736538.461538462,Fox Searchlight Pictures,Best Costume Design,1,Laura Jones,Peter Carey,Gillian Armstrong,Ralph Fiennes,Cate Blanchett,Ciarán Hinds,Drama' 'Romance,Drama,Romance,1997-12-31,Winter
3415,tt0112346,The American President,English,USA,114,PG-13,67.0,62000000.0,Columbia Pictures,"Best Music, Original Musical or Comedy Score",1,Aaron Sorkin,,Rob Reiner,Michael Douglas,Annette Bening,Martin Sheen,Comedy' 'Drama,Comedy,Drama,1995-11-17,Fall
3418,tt1155592,Man on Wire,English,UK,94,PG-13,89.0,2900000.0,Magnolia Pictures,"Best Documentary, Features",1,Philippe Petit,,James Marsh,Philippe Petit,Jean François Heckel,Jean-Louis Blondeau,Documentary' 'Biography,Documentary,Biography,2008-08-29,Summer
3419,tt0814075,Deliver Us from Evil,English,USA,101,Not Rated,86.0,6950000.0,Lions Gate Films,"Best Documentary, Features",1,Amy Berg,,Amy Berg,"""Oliver O'Grady""",Thomas Doyle,Adam,Documentary' 'Crime,Documentary,Crime,2007-02-22,Winter
3420,tt0120762,Mulan,English,USA,88,G,71.0,90000000.0,Buena Vista Pictures,"Best Music, Original Musical or Comedy Score",1,Robert D. San Souci,Rita Hsiao,Tony Bancroft,Ming-Na Wen,Eddie Murphy,BD Wong,Animation' 'Adventure,Animation,Adventure,1998-06-19,Summer
3422,tt4185572,The Hunting Ground,English,USA,103,PG-13,77.0,,RADiUS-TWC,"Best Achievement in Music Written for Motion Pictures, Original Song",1,Kirby Dick,,Kirby Dick,Andrea Pino,Annie Clark,Claire Potter,Documentary,Documentary,,2016-01-01,Winter
3423,tt0103644,Alien 3,English,USA,114,R,59.0,50000000.0,Twentieth Century Fox,"Best Effects, Visual Effects",1,"""Dan O'Bannon""",Ronald Shusett,David Fincher,Sigourney Weaver,Charles S. Dutton,Charles Dance,Action' 'Horror,Action,Horror,1992-05-22,Spring
3425,tt0096754,The Abyss,English,USA,171,PG-13,62.0,70000000.0,Twentieth Century Fox,Best Art Direction-Set Decoration,4,James Cameron,,James Cameron,Ed Harris,Mary Elizabeth Mastrantonio,Michael Biehn,Adventure' 'Drama,Adventure,Drama,1989-08-09,Summer
3429,tt0115685,The Birdcage,English,USA,117,R,72.0,31000000.0,United Artists,Best Art Direction-Set Decoration,1,Jean Poiret,Francis Veber,Mike Nichols,Robin Williams,Nathan Lane,Gene Hackman,Comedy,Comedy,,1996-03-08,Winter
3430,tt1302011,Kung Fu Panda 2,English,USA,90,PG,67.0,150000000.0,Paramount Pictures,Best Animated Feature Film of the Year,1,Jonathan Aibel,Glenn Berger,Jennifer Yuh Nelson,Jack Black,Angelina Jolie,Jackie Chan,Animation' 'Action,Animation,Action,2011-05-26,Spring
3431,tt1228705,Iron Man 2,English,USA,124,PG-13,57.0,200000000.0,Paramount Pictures,Best Achievement in Visual Effects,1,Justin Theroux,Stan Lee,Jon Favreau,Robert Downey Jr.,Mickey Rourke,Gwyneth Paltrow,Action' 'Adventure,Action,Adventure,2010-05-07,Spring
3433,tt0092007,Star Trek IV: The Voyage Home,English,USA,119,PG,71.0,25000000.0,Paramount Pictures,Best Cinematography,4,Gene Roddenberry,Leonard Nimoy,Leonard Nimoy,William Shatner,Leonard Nimoy,DeForest Kelley,Adventure' 'Comedy,Adventure,Comedy,1986-11-26,Fall
3437,tt2948356,Zootopia,English,USA,108,PG,78.0,150000000.0,Walt Disney Studios Motion Pictures,Best Animated Feature Film of the Year,1,Byron Howard,Rich Moore,Byron Howard,Ginnifer Goodwin,Jason Bateman,Idris Elba,Animation' 'Adventure,Animation,Adventure,2016-03-04,Winter
3438,tt0093818,Radio Days,English,USA,88,PG,74.0,16000000.0,Orion Pictures,Best Art Direction-Set Decoration,2,Woody Allen,,Woody Allen,Mia Farrow,Dianne Wiest,Mike Starr,Comedy,Comedy,,1987-01-30,Winter
3440,tt1226774,In the Loop,English,UK,106,Not Rated,83.0,2500000.0,IFC Films,"Best Writing, Adapted Screenplay",1,Jesse Armstrong,Simon Blackwell,Armando Iannucci,Tom Hollander,Peter Capaldi,James Gandolfini,Comedy,Comedy,,2009-09-04,Fall
3441,tt0780521,The Princess and the Frog,English,USA,97,G,73.0,105000000.0,Walt Disney Studios Motion Pictures,"Best Achievement in Music Written for Motion Pictures, Original Song",2,Ron Clements,John Musker,Ron Clements,Anika Noni Rose,Keith David,Oprah Winfrey,Animation' 'Adventure,Animation,Adventure,2009-12-11,Winter
3443,tt0089880,Rambo: First Blood Part II,English,USA,96,R,47.0,44000000.0,Rialto Pictures,"Best Effects, Sound Effects Editing",1,David Morrell,Kevin Jarre,George P. Cosmatos,Sylvester Stallone,Richard Crenna,Charles Napier,Action' 'Adventure,Action,Adventure,1985-05-22,Spring
3445,tt0385752,The Golden Compass,English,UK,113,PG-13,51.0,180000000.0,New Line Cinema,Best Achievement in Art Direction,2,Chris Weitz,Philip Pullman,Chris Weitz,Nicole Kidman,Daniel Craig,Dakota Blue Richards,Adventure' 'Family,Adventure,Family,2007-12-07,Winter
3448,tt0100994,Young Guns II,English,USA,104,PG-13,47.0,20000000.0,Twentieth Century Fox,"Best Music, Original Song",1,John Fusco,John Fusco,Geoff Murphy,Emilio Estevez,Kiefer Sutherland,Lou Diamond Phillips,Action' 'Western,Action,Western,1990-08-01,Summer
3453,tt0119282,Hercules,English,USA,93,G,74.0,85000000.0,Buena Vista Pictures,"Best Music, Original Song",1,Ron Clements,John Musker,Ron Clements,Tate Donovan,Susan Egan,James Woods,Animation' 'Adventure,Animation,Adventure,1997-06-27,Summer
3454,tt0089908,Return to Oz,English,UK,113,PG,42.0,25000000.0,Buena Vista Distribution Company,"Best Effects, Visual Effects",1,Walter Murch,Gill Dennis,Walter Murch,Fairuza Balk,Nicol Williamson,Jean Marsh,Adventure' 'Family,Adventure,Family,1985-06-21,Summer
3456,tt3450958,War for the Planet of the Apes,English,USA,140,PG-13,82.0,150000000.0,Twentieth Century Fox,Best Achievement in Visual Effects,1,Mark Bomback,Matt Reeves,Matt Reeves,Andy Serkis,Woody Harrelson,Steve Zahn,Action' 'Adventure,Action,Adventure,2017-07-14,Summer
3457,tt0107840,Poetic Justice,English,USA,109,R,51.0,14000000.0,Columbia Pictures,"Best Music, Original Song",1,John Singleton,,John Singleton,Janet Jackson,Tupac Shakur,Regina King,Drama' 'Romance,Drama,Romance,1993-07-23,Summer
3460,tt0079588,The Muppet Movie,English,UK,95,G,74.0,,Associated Film Distribution,"Best Music, Original Song",2,Jerry Juhl,Jack Burns,James Frawley,Jim Henson,Frank Oz,Jerry Nelson,Adventure' 'Comedy,Adventure,Comedy,1979-06-22,Summer
3463,tt1748122,Moonrise Kingdom,English,USA,94,PG-13,84.0,16000000.0,Focus Features,"Best Writing, Original Screenplay",1,Wes Anderson,Roman Coppola,Wes Anderson,Jared Gilman,Kara Hayward,Bruce Willis,Comedy' 'Drama,Comedy,Drama,2012-06-29,Summer
3464,tt3125324,Beyond the Lights,English,USA,116,PG-13,73.0,7000000.0,Relativity Media,"Best Achievement in Music Written for Motion Pictures, Original Song",1,Gina Prince-Bythewood,,Gina Prince-Bythewood,Gugu Mbatha-Raw,Nate Parker,Minnie Driver,Drama' 'Music,Drama,Music,2014-11-14,Fall
3465,tt0078950,The Champ,English,USA,121,PG,38.0,16384615.384615384,Metro-Goldwyn-Mayer,"Best Music, Original Score",1,Frances Marion,Walter Newman,Franco Zeffirelli,Jon Voight,Faye Dunaway,Ricky Schroder,Drama' 'Sport,Drama,Sport,1979-04-04,Spring
3466,tt0086190,Star Wars: Episode VI - Return of the Jedi,English,USA,131,PG,58.0,32500000.0,Twentieth Century Fox,Best Art Direction-Set Decoration,4,Lawrence Kasdan,George Lucas,Richard Marquand,Mark Hamill,Harrison Ford,Carrie Fisher,Action' 'Adventure,Action,Adventure,1983-05-25,Spring
3470,tt0117998,Twister,English,USA,113,PG-13,68.0,92000000.0,Warner Bros.,"Best Effects, Visual Effects",2,Michael Crichton,Anne-Marie Martin,Jan de Bont,Helen Hunt,Bill Paxton,Cary Elwes,Action' 'Adventure,Action,Adventure,1996-05-10,Spring
3472,tt2042568,Inside Llewyn Davis,English,USA,104,R,93.0,11000000.0,CBS Films,Best Achievement in Cinematography,2,Joel Coen,Ethan Coen,Ethan Coen,Oscar Isaac,Carey Mulligan,John Goodman,Comedy' 'Drama,Comedy,Drama,2014-01-10,Winter
3475,tt7178226,The Cave,Arabic,Denmark,107,PG-13,83.0,,National Geographic Documentary Films,Best Documentary Feature,1,Alisar Hasan,Feras Fayyad,Feras Fayyad,Amani Ballour,Salim Namour,Alaa,Documentary' 'War,Documentary,War,2019-10-18,Fall
3476,tt3896198,Guardians of the Galaxy Vol. 2,English,USA,136,PG-13,67.0,200000000.0,Walt Disney Studios Motion Pictures,Best Achievement in Visual Effects,1,James Gunn,Dan Abnett,James Gunn,Chris Pratt,Zoe Saldana,Dave Bautista,Action' 'Adventure,Action,Adventure,2017-05-05,Spring
3478,tt5104604,Isle of Dogs,English,Germany,101,PG-13,82.0,10736538.461538462,Fox Searchlight Pictures,Best Achievement in Music Written for Motion Pictures (Original Score),2,Wes Anderson,Roman Coppola,Wes Anderson,Bryan Cranston,Koyu Rankin,Edward Norton,Animation' 'Adventure,Animation,Adventure,2018-04-13,Spring
3480,tt0213149,Pearl Harbor,English,USA,183,PG-13,44.0,140000000.0,Buena Vista Pictures,Best Sound,4,Randall Wallace,,Michael Bay,Ben Affleck,Kate Beckinsale,Josh Hartnett,Action' 'Drama,Action,Drama,2001-05-25,Spring
3484,tt0892769,How to Train Your Dragon,English,USA,98,PG,75.0,165000000.0,Paramount Pictures,"Best Achievement in Music Written for Motion Pictures, Original Score",2,William Davies,Dean DeBlois,Dean DeBlois,Jay Baruchel,Gerard Butler,Christopher Mintz-Plasse,Animation' 'Action,Animation,Action,2010-03-26,Winter
3486,tt2310332,The Hobbit: The Battle of the Five Armies,English,New Zealand,144,PG-13,59.0,250000000.0,Fathom Events,Best Achievement in Sound Editing,1,Fran Walsh,Philippa Boyens,Peter Jackson,Ian McKellen,Martin Freeman,Richard Armitage,Adventure' 'Fantasy,Adventure,Fantasy,2014-12-17,Winter
3487,tt0988045,Sherlock Holmes,English,USA,128,PG-13,57.0,90000000.0,Warner Bros.,Best Achievement in Art Direction,2,Michael Robert Johnson,Anthony Peckham,Guy Ritchie,Robert Downey Jr.,Jude Law,Rachel McAdams,Action' 'Adventure,Action,Adventure,2009-12-25,Winter
