,IMDBId,movie title,director(s),writer(s),casts,genre(s),language,country,runtime (mins),mpaarating,release date,metacritic score,budget,distributionCompany
1691,,Harry Potter and the Prisoner of Azkaban,['Alfonso Cuarón'],"['J.K. Rowling', 'Steve Kloves']","['Daniel Radcliffe', 'Emma Watson', 'Rupert Grint']","['Adventure', 'Family', 'Fantasy', 'Mystery']",English,UK,2h 22min,PG,4-Jun-04,82.0,130000000.0,Warner Bros.
1692,,Working Girl,['Mike Nichols'],['Kevin Wade'],"['Melanie Griffith', 'Harrison Ford', 'Sigourney Weaver']","['Comedy', 'Drama', 'Romance']",English,USA,1h 53min,R,21-Dec-88,73.0,28000000.0,Twentieth Century Fox
1693,,The Hunt for Red October,['John McTiernan'],"['Tom Clancy', 'Larry Ferguson', '1 more credit']","['Sean Connery', 'Alec Baldwin', 'Scott Glenn']","['Action', 'Adventure', 'Thriller']",English,USA,2h 15min,PG,2-Mar-90,58.0,30000000.0,Paramount Pictures
1694,,El Norte,['Gregory Nava'],"['Gregory Nava', 'Anna Thomas']","['Zaide Silvia Gutiérrez', 'David Villalpando', 'Ernesto Gómez Cruz']",['Drama'],Spanish,UK,2h 21min,R,27-Jan-84,67.0,,Cinecom Pictures
1695,,Toy Story 4,['Josh Cooley'],"['John Lasseter', 'Andrew Stanton', '8 more credits']","['Tom Hanks', 'Tim Allen', 'Annie Potts']","['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']",English,USA,1h 40min,G,21-Jun-19,84.0,200000000.0,Walt Disney Studios Motion Pictures
1696,,13 Hours,['Michael Bay'],"['Chuck Hogan', 'Mitchell Zuckoff']","['John Krasinski', 'Pablo Schreiber', 'James Badge Dale']","['Action', 'Drama', 'History', 'War']",English,Malta,2h 24min,R,15-Jan-16,48.0,50000000.0,Paramount Pictures
1697,,A Little Princess,['Alfonso Cuarón'],"['Frances Hodgson Burnett', 'Richard LaGravenese', '1 more credit']","['Liesel Matthews', 'Eleanor Bron', 'Liam Cunningham']","['Drama', 'Family', 'Fantasy']",English,USA,1h 37min,G,19-May-95,83.0,17000000.0,Warner Bros. Family Entertainment
1698,,Beginners,['Mike Mills'],['Mike Mills'],"['Ewan McGregor', 'Christopher Plummer', 'Mélanie Laurent']","['Comedy', 'Drama', 'Romance']",English,USA,1h 45min,R,9-Jun-11,81.0,3200000.0,Focus Features
1699,,The Two Popes,['Fernando Meirelles'],['Anthony McCarten'],"['Anthony Hopkins', 'Jonathan Pryce', 'Juan Minujín']","['Biography', 'Comedy', 'Drama', 'History']",English,UK,2h 5min,PG-13,20-Dec-19,75.0,,
1700,,The French Lieutenant's Woman,['Karel Reisz'],"['John Fowles', 'Harold Pinter']","['Meryl Streep', 'Jeremy Irons', 'Hilton McRae']","['Drama', 'Romance']",English,UK,2h 4min,R,16-Oct-81,64.0,,United Artists
1701,,Mindenki,['Kristóf Deák'],"['Kristóf Deák', 'Bex Harvey', '1 more credit']","['Zsófia Szamosi', 'Dorottya Hais', 'Dorka Gáspárfalvi']","['Short', 'Drama', 'Music']",Hungarian,Hungary,25min,25min,,,,
1702,,The Man Who Wasn't There,"['Joel Coen', 'Ethan Coen']","['Joel Coen', 'Ethan Coen']","['Billy Bob Thornton', 'Frances McDormand', 'Michael Badalucco']","['Crime', 'Drama']",English,USA,1h 56min,R,16-Nov-01,73.0,20000000.0,USA Films
1703,,The Judge,['David Dobkin'],"['Nick Schenk', 'Bill Dubuque', '2 more credits']","['Robert Downey Jr.', 'Robert Duvall', 'Vera Farmiga']","['Crime', 'Drama']",English,USA,2h 21min,R,10-Oct-14,48.0,50000000.0,Warner Bros.
1704,,The Way Back,['Peter Weir'],"['Slavomir Rawicz', 'Peter Weir', '1 more credit']","['Jim Sturgess', 'Ed Harris', 'Colin Farrell']","['Adventure', 'Drama', 'History']",English,USA,2h 13min,PG-13,21-Jan-11,66.0,30000000.0,Image Entertainment
1705,,The Karate Kid,['John G. Avildsen'],['Robert Mark Kamen'],"['Ralph Macchio', 'Pat Morita', 'Elisabeth Shue']","['Action', 'Drama', 'Family', 'Sport']",English,USA,2h 6min,PG,22-Jun-84,60.0,8000000.0,Columbia Pictures
1706,,Trolls,"['Mike Mitchell', 'Walt Dohrn']","['Jonathan Aibel', 'Glenn Berger', '2 more credits']","['Anna Kendrick', 'Justin Timberlake', 'Zooey Deschanel']","['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical']",English,USA,1h 32min,PG,4-Nov-16,55.0,125000000.0,Twentieth Century Fox
1707,,The Other Side of Sunday,['Berit Nesheim'],"['Lasse Glomm', 'Berit Nesheim', '1 more credit']","['Marie Theisen', 'Hildegun Riise', 'Bjørn Sundquist']","['Comedy', 'Drama']",Norwegian,Norway,1h 43min,PG-13,1-May-98,,,
1708,,Last Breeze of Summer,['Arik Caspi'],"['David M. Massey', 'Marilyn Webber']","['Dave Bean', 'Julian Doster', 'Starletta DuPois']","['Drama', 'Short']",English,USA,30min,30min,,,60000.0,Carousel Films and Video
1709,,Kramer vs. Kramer,['Robert Benton'],"['Avery Corman', 'Robert Benton']","['Dustin Hoffman', 'Meryl Streep', 'Jane Alexander']",['Drama'],English,USA,1h 45min,PG,19-Dec-79,77.0,8000000.0,Columbia Pictures
1710,,Sleepers,['Barry Levinson'],"['Lorenzo Carcaterra', 'Barry Levinson']","['Robert De Niro', 'Kevin Bacon', 'Brad Pitt']","['Crime', 'Drama', 'Thriller']",English,USA,2h 27min,R,18-Oct-96,49.0,44000000.0,Warner Bros.
