,IMDBId,movie title,language,country,runtime (mins),mpaarating,metacritic score,budget,distributionCompany,Awards,Total_Noms,writer1,writer2,director,Lead_Actor,Supporting_Actor_1,Supporting_Actor_2,genre,main_genre,subgenre,release_date,season,Award_Year,Awards_Best Actor in a Leading Role,Awards_Best Actor in a Supporting Role,Awards_Best Actress in a Leading Role,Awards_Best Art Direction-Set Decoration,Awards_Best Cinematography,Awards_Best Director,Awards_Best Film Editing,Awards_Best Motion Picture of the Year,Awards_Best Picture,Awards_Best Sound,Dir_Prev_Score,Director_Avg_Score,Total_Director_Movies,Lead_Actor_Prev_Score,Lead_Actor_Avg_Score,Total_Movies_Lead_Actor,Award_Prev_Score,Award_Avg_Score,Avg_Rating_by_Genre,Avg_Rating_by_MPAA_Rating,Avg_Rating_by_season,Avg_Rating_by_Distribution_company,Writer_Prev_Score,Avg_Rating_by_writer,Buena Vista Pictures,Columbia Pictures,Focus Features,Miramax,Paramount Pictures,Sony Pictures Classics,Twentieth Century Fox,Universal Pictures,Walt Disney Studios Motion Pictures,Warner Bros.,Genre_Action,Genre_Adventure,Genre_Animation,Genre_Biography,Genre_Comedy,Genre_Crime,Genre_Documentary,Genre_Drama,Genre_Horror,Genre_Mystery,Subgenre_Adventure,Subgenre_Comedy,Subgenre_Crime,Subgenre_Drama,Subgenre_Fantasy,Subgenre_History,Subgenre_Music,Subgenre_Mystery,Subgenre_Romance,Subgenre_Thriller,Director_Barry Levinson,Director_Clint Eastwood,Director_Martin Scorsese,Director_Ridley Scott,Director_Robert Zemeckis,Director_Ron Howard,Director_Stephen Frears,Director_Steven Spielberg,Director_Tim Burton,Director_Woody Allen,Lead_Actor_Brad Pitt,Lead_Actor_Denzel Washington,Lead_Actor_Harrison Ford,Lead_Actor_Johnny Depp,Lead_Actor_Leonardo DiCaprio,Lead_Actor_Meryl Streep,Lead_Actor_Michael Douglas,Lead_Actor_Robin Williams,Lead_Actor_Tom Cruise,Lead_Actor_Tom Hanks,Fall,Spring,Summer,Winter,G,Not Rated,PG,PG-13,R,Unrated,Writer_Aaron Sorkin,Writer_George Miller,Writer_Joel Coen,Writer_John Logan,Writer_Lawrence Kasdan,Writer_Lee Hall,Writer_Paul Thomas Anderson,Writer_Pedro Almodóvar,Writer_Quentin Tarantino,Writer_Woody Allen
1014,tt0978759,Frozen River,English,USA,97,R,82.0,1000000.0,Sony Pictures Classics,Best Performance by an Actress in a Leading Role,2,Courtney Hunt,,Courtney Hunt,Melissa Leo,Misty Upham,Charlie McDermott,Crime' 'Drama,Crime,Drama,2008-09-05,Fall,2008.0,,,,,,,,,,,,,1,,,1,85.0,65.0,73.75,74.00187265917603,72.53125,79.95454545454545,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,1,0,,,,,,,,,,
1016,tt0117631,Shine,English,Australia,105,PG-13,87.0,5500000.0,Fine Line Features,Best Actor in a Leading Role,7,Jan Sardi,Scott Hicks,Scott Hicks,Geoffrey Rush,Armin Mueller-Stahl,Justin Braine,Biography' 'Drama,Biography,Drama,1997-02-14,Winter,1997.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,,,2,79.0,78.0,73.6046511627907,69.28664495114006,72.63362068965517,79.0,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,1,0,0,,,,,,,,,,
1023,tt0308644,Finding Neverland,English,USA,106,PG,67.0,25000000.0,Miramax,Best Motion Picture of the Year,7,Allan Knee,David Magee,Marc Forster,Johnny Depp,Kate Winslet,Julie Christie,Biography' 'Drama,Biography,Drama,2004-12-17,Winter,2004.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,69.0,69.0,3,63.0,64.0,10,73.0,73.0,73.6046511627907,69.61320754716981,72.63362068965517,74.23529411764706,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0,0,,,,,,,,,,
1030,tt1853728,Django Unchained,English,USA,165,R,81.0,100000000.0,The Weinstein Company,Best Motion Picture of the Year,5,Quentin Tarantino,,Quentin Tarantino,Jamie Foxx,Christoph Waltz,Leonardo DiCaprio,Drama' 'Western,Drama,Western,2012-12-25,Winter,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,69.0,66.5,6,73.0,73.0,2,81.0,80.0,82.0,74.00187265917603,72.63362068965517,70.31818181818181,69.0,66.5,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1035,tt0089755,Out of Africa,English,USA,161,PG,69.0,31000000.0,Universal Pictures,Best Actor in a Supporting Role,11,Karen Blixen,Judith Thurman,Sydney Pollack,Meryl Streep,Robert Redford,Klaus Maria Brandauer,Biography' 'Drama,Biography,Drama,1985-12-20,Winter,1985.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,76.0,6,64.0,66.0,15,60.0,62.5,73.6046511627907,69.61320754716981,72.63362068965517,67.13953488372093,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0,0,,,,,,,,,,
1046,tt1045658,Silver Linings Playbook,English,USA,122,R,81.0,21000000.0,The Weinstein Company,Best Motion Picture of the Year,8,David O. Russell,Matthew Quick,David O. Russell,Bradley Cooper,Jennifer Lawrence,Robert De Niro,Comedy' 'Drama,Comedy,Drama,2012-12-25,Winter,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,79.0,79.0,4,,,2,79.0,82.5,75.18518518518519,74.00187265917603,72.63362068965517,70.31818181818181,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,
1054,tt0315983,House of Sand and Fog,English,USA,126,R,71.0,16500000.0,DreamWorks Distribution,Best Actor in a Leading Role,3,Andre Dubus III,Vadim Perelman,Vadim Perelman,Jennifer Connelly,Ben Kingsley,Ron Eldard,Crime' 'Drama,Crime,Drama,2004-01-09,Winter,2004.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,,,1,73.0,68.0,73.75,74.00187265917603,72.63362068965517,71.88235294117646,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,
1057,tt0080678,The Elephant Man,English,USA,124,PG,78.0,5000000.0,Paramount Pictures,Best Actor in a Leading Role,8,Christopher De Vore,Eric Bergren,David Lynch,Anthony Hopkins,John Hurt,Anne Bancroft,Biography' 'Drama,Biography,Drama,1980-10-10,Fall,1980.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,6,,,7,77.0,80.0,73.6046511627907,69.61320754716981,72.53125,66.97029702970298,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,1,0,0,0,,,,,,,,,,
1065,tt0096969,Born on the Fourth of July,English,USA,145,R,75.0,14000000.0,Universal Pictures,Best Actor in a Leading Role,8,Ron Kovic,Oliver Stone,Oliver Stone,Tom Cruise,Bryan Larkin,Raymond J. Barry,Biography' 'Drama,Biography,Drama,1990-01-05,Winter,1990.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,74.0,6,50.0,50.0,12,83.0,81.0,73.6046511627907,74.00187265917603,72.63362068965517,67.13953488372093,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,
1073,tt0079417,Kramer vs. Kramer,English,USA,105,PG,77.0,8000000.0,Columbia Pictures,Best Actor in a Leading Role,8,Avery Corman,Robert Benton,Robert Benton,Dustin Hoffman,Meryl Streep,Jane Alexander,Drama,Drama,,1979-12-19,Winter,1980.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,3,,,4,64.0,61.0,75.48351648351648,69.61320754716981,72.63362068965517,68.90277777777777,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,1,0,0,0,,,,,,,,,,
1081,tt1149362,The White Ribbon,Latin,Germany,144,R,82.0,18000000.0,Sony Pictures Classics,Best Achievement in Cinematography,2,Michael Haneke,Michael Haneke,Michael Haneke,Christian Friedel,Ernst Jacobi,Leonie Benesch,Drama' 'History,Drama,History,2010-03-05,Winter,2010.0,,,,,,,,,,,,,2,,,1,78.0,63.5,70.2,74.00187265917603,72.63362068965517,79.95454545454545,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,
1083,tt0340012,Being Julia,English,Canada,104,R,65.0,18000000.0,Sony Pictures Classics,Best Performance by an Actress in a Leading Role,1,W. Somerset Maugham,Ronald Harwood,István Szabó,Annette Bening,Michael Gambon,Maury Chaykin,Comedy' 'Drama,Comedy,Drama,2005-02-18,Winter,2005.0,,,,,,,,,,,,,1,,,2,83.0,85.0,75.18518518518519,74.00187265917603,72.63362068965517,79.95454545454545,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,
1084,tt0405159,Million Dollar Baby,English,USA,132,PG-13,86.0,30000000.0,Warner Bros.,Best Motion Picture of the Year,7,Paul Haggis,F.X. Toole,Clint Eastwood,Hilary Swank,Clint Eastwood,Morgan Freeman,Drama' 'Sport,Drama,Sport,2005-01-28,Winter,2005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,84.0,78.5,12,42.0,64.0,3,94.0,85.5,71.42857142857143,69.28664495114006,72.63362068965517,68.94949494949495,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0,0,0,1,0,0,0,1,0,0,,,,,,,,,,
1091,tt2737050,"Two Days, One Night",French,Belgium,95,PG-13,89.0,,Sundance Selects,Best Performance by an Actress in a Leading Role,1,Jean-Pierre Dardenne,Luc Dardenne,Jean-Pierre Dardenne,Marion Cotillard,Fabrizio Rongione,Catherine Salée,Drama,Drama,,2014-05-21,Spring,2014.0,,,,,,,,,,,,,1,66.0,66.0,2,58.0,68.0,75.48351648351648,69.28664495114006,68.07826086956521,91.5,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,1,0,0,,,,,,,,,,
1092,tt0119396,Jackie Brown,English,USA,154,R,64.0,12000000.0,Miramax,Best Actor in a Supporting Role,1,Quentin Tarantino,Elmore Leonard,Quentin Tarantino,Pam Grier,Samuel L. Jackson,Robert Forster,Crime' 'Drama,Crime,Drama,1997-12-25,Winter,1997.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,94.0,6,,,1,85.0,85.0,73.75,74.00187265917603,72.63362068965517,74.23529411764706,94.0,94.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1093,tt0245157,Zus & zo,Dutch,Netherlands,106,Unrated,50.0,,Lifesize Entertainment,Best Foreign Language Film,1,Paula van der Oest,,Paula van der Oest,Sylvia Poorta,Anneke Blok,Monic Hendrickx,Comedy' 'Fantasy,Comedy,Fantasy,2002-05-08,Spring,2002.0,,,,,,,,,,,,,1,,,1,84.0,84.0,61.7,74.2,68.07826086956521,50.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,
1094,tt0083967,Frances,English,USA,140,R,48.0,44258750.00833333,Universal Pictures,Best Actress in a Leading Role,2,Eric Bergren,Christopher De Vore,Graeme Clifford,Jessica Lange,Sam Shepard,Kim Stanley,Biography' 'Drama,Biography,Drama,1983-03-11,Winter,1983.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,,,2,68.0,66.0,73.6046511627907,74.00187265917603,72.63362068965517,67.13953488372093,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,
1096,tt0450188,La Vie En Rose,French,France,140,PG-13,66.0,25000000.0,Picturehouse,Best Performance by an Actress in a Leading Role,3,Isabelle Sobelman,Olivier Dahan,Olivier Dahan,Marion Cotillard,Sylvie Testud,Pascal Greggory,Biography' 'Drama,Biography,Drama,2007-07-20,Summer,2007.0,,,,,,,,,,,,,1,,,2,88.0,81.5,73.6046511627907,69.28664495114006,72.34599156118144,79.33333333333333,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,1,0,0,,,,,,,,,,
1099,tt0258068,The Quiet American,English,UK,101,R,84.0,30000000.0,Miramax,Best Actor in a Leading Role,1,Graham Greene,Christopher Hampton,Phillip Noyce,Michael Caine,Brendan Fraser,Thi Hai Yen Do,Drama' 'Romance,Drama,Romance,2003-03-07,Winter,2003.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,74.0,3,52.0,52.0,2,83.0,84.0,71.075,74.00187265917603,72.63362068965517,74.23529411764706,65.0,65.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,
1100,tt1504320,The King's Speech,English,UK,118,R,88.0,15000000.0,The Weinstein Company,Best Motion Picture of the Year,12,David Seidler,,Tom Hooper,Colin Firth,Geoffrey Rush,Helena Bonham Carter,Biography' 'Drama,Biography,Drama,2010-12-25,Winter,2010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,3,77.0,66.0,3,80.0,79.5,73.6046511627907,74.00187265917603,72.63362068965517,70.31818181818181,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,
1112,tt0118849,Children of Heaven,Persian,Iran,89,PG,77.0,180000.0,Miramax Family Films,Best Foreign Language Film,1,Majid Majidi,,Majid Majidi,Mohammad Amir Naji,Amir Farrokh Hashemian,Bahare Seddiqi,Drama' 'Family,Drama,Family,1999-01-22,Winter,1999.0,,,,,,,,,,,,,1,,,1,57.0,68.5,76.28571428571429,69.61320754716981,72.63362068965517,77.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,1,0,0,0,,,,,,,,,,
1113,tt0875034,Nine,English,UK,118,PG-13,49.0,80000000.0,The Weinstein Company,Best Performance by an Actress in a Supporting Role,4,Michael Tolkin,Anthony Minghella,Rob Marshall,Daniel Day-Lewis,Marion Cotillard,Penélope Cruz,Drama' 'Musical,Drama,Musical,2009-12-25,Winter,2009.0,,,,,,,,,,,81.0,81.0,3,93.0,88.5,7,70.0,71.5,57.4,69.28664495114006,72.63362068965517,70.31818181818181,86.0,86.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,1,0,0,,,,,,,,,,
1117,tt0158302,Under solen,Swedish,Sweden,130,Unrated,60.0,,Shadow Distribution,Best Foreign Language Film,1,H.E. Bates,Johanna Hald,Colin Nutley,Rolf Lassgård,Helena Bergström,Johan Widerberg,Drama' 'Romance,Drama,Romance,,Fall,,,,,,,,,,,,,,1,70.0,70.0,2,85.0,73.0,71.075,74.2,72.53125,60.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,
1118,tt0105151,The Player,English,USA,124,R,86.0,8000000.0,Fine Line Features,Best Director,3,Michael Tolkin,Michael Tolkin,Robert Altman,Tim Robbins,Greta Scacchi,Fred Ward,Comedy' 'Crime,Comedy,Crime,1992-05-08,Spring,1992.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,3,,,2,76.0,78.0,70.42857142857143,74.00187265917603,68.07826086956521,79.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,1,0,,,,,,,,,,
1121,tt0097123,Crimes and Misdemeanors,English,USA,104,PG-13,77.0,19000000.0,Orion Pictures,Best Actor in a Supporting Role,3,Woody Allen,,Woody Allen,Martin Landau,Woody Allen,Bill Bernstein,Comedy' 'Drama,Comedy,Drama,1989-11-03,Fall,1989.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,82.0,12,,,1,68.0,80.5,75.18518518518519,69.28664495114006,72.53125,69.95238095238095,74.0,82.0,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,1,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1124,tt0388795,Brokeback Mountain,English,USA,134,R,87.0,14000000.0,Focus Features,Best Motion Picture of the Year,8,Annie Proulx,Larry McMurtry,Ang Lee,Jake Gyllenhaal,Heath Ledger,Michelle Williams,Drama' 'Romance,Drama,Romance,2006-01-13,Winter,2006.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,94.0,89.0,4,,,1,74.0,77.0,71.075,74.00187265917603,72.63362068965517,78.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,
1132,tt0457655,After the Wedding,Danish,Denmark,120,R,78.0,3250000.0,IFC Films,Best Foreign Language Film of the Year,1,Susanne Bier,Anders Thomas Jensen,Susanne Bier,Mads Mikkelsen,Sidse Babett Knudsen,Rolf Lassgård,Drama,Drama,,2007-05-11,Spring,2007.0,,,,,,,,,,,,,2,,,2,89.0,85.5,75.48351648351648,74.00187265917603,68.07826086956521,82.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,1,0,,,,,,,,,,
1133,tt0335266,Lost in Translation,English,USA,102,R,89.0,4000000.0,Focus Features,Best Picture,4,Sofia Coppola,,Sofia Coppola,Bill Murray,Scarlett Johansson,Giovanni Ribisi,Comedy' 'Drama,Comedy,Drama,2003-10-03,Fall,2003.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,2,38.0,54.5,3,72.0,78.5,75.18518518518519,74.00187265917603,72.53125,78.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,1,0,,,,,,,,,,
1137,tt4669986,Loving,English,UK,123,PG-13,79.0,9000000.0,Focus Features,Best Performance by an Actress in a Leading Role,1,Jeff Nichols,Nancy Buirski,Jeff Nichols,Ruth Negga,Joel Edgerton,Will Dalton,Biography' 'Drama,Biography,Drama,2016-11-04,Fall,2016.0,,,,,,,,,,,,,1,,,1,71.0,82.5,73.6046511627907,69.28664495114006,72.53125,78.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,
1138,tt6294822,The Post,English,USA,116,PG-13,83.0,50000000.0,Twentieth Century Fox,Best Motion Picture of the Year,2,Liz Hannah,Josh Singer,Steven Spielberg,Meryl Streep,Tom Hanks,Sarah Paulson,Drama' 'Thriller,Drama,Thriller,2018-01-12,Winter,2018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,81.0,83.5,20,71.0,64.5,15,87.0,81.0,75.42857142857143,69.28664495114006,72.63362068965517,70.2948717948718,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1,0,0,,,,,,,,,,
1140,tt0449467,Babel,English,France,143,R,69.0,25000000.0,Paramount Vantage,Best Motion Picture of the Year,6,Guillermo Arriaga,Guillermo Arriaga,Alejandro G. Iñárritu,Brad Pitt,Cate Blanchett,Gael García Bernal,Drama,Drama,,2006-11-10,Fall,2006.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,70.0,76.5,6,56.0,61.0,11,85.0,82.5,75.48351648351648,74.00187265917603,72.53125,83.0,70.0,76.5,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,,,,,,,,,,
1146,tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl,English,USA,143,PG-13,63.0,140000000.0,Buena Vista Pictures,Best Actor in a Leading Role,5,Ted Elliott,Terry Rossio,Gore Verbinski,Johnny Depp,Geoffrey Rush,Orlando Bloom,Action' 'Adventure,Action,Adventure,2003-07-09,Summer,2003.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2,65.0,64.0,10,84.0,83.5,66.54117647058824,69.28664495114006,72.34599156118144,68.88636363636364,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,1,0,0,,,,,,,,,,
1151,tt1399683,Winter's Bone,English,USA,100,R,90.0,2000000.0,Roadside Attractions,Best Motion Picture of the Year,4,Debra Granik,Anne Rosellini,Debra Granik,Jennifer Lawrence,John Hawkes,Garret Dillahunt,Drama' 'Mystery,Drama,Mystery,2010-07-16,Summer,2010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,1,,,3,74.0,83.0,73.14814814814815,74.00187265917603,72.34599156118144,81.25,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,1,0,,,,,,,,,,
