IMDBId,movie title,director(s),writer(s),casts,genre(s),language,country,runtime (mins),mpaarating,release date,metacritic score,budget,distributionCompany
tt0111454,Tom & Viv,['Brian Gilbert'],"['Michael Hastings', 'Michael Hastings', '1 more credit']","['Willem Dafoe', 'Miranda Richardson', 'Rosemary Harris']","['Biography', 'Drama', 'Romance']",English,UK,1h 55min,PG-13,2 December 1994 ,,,Echo Bridge Home Entertainment
tt0079579,Moscow Does Not Believe in Tears,['Vladimir Menshov'],"['Valentin Chernykh', 'Vladimir Menshov']","['Vera Alentova', 'Aleksey Batalov', 'Irina Muravyova']","['Comedy', 'Drama', 'Romance']",Russian,Soviet Union,2h 30min,PG,11 February 1980 ,,900000.0,International Film Exchange
tt4080728,A Man Called Ove,['Hannes Holm'],"['Hannes Holm', 'Fredrik Backman']","['Rolf Lassgård', 'Bahar Pars', 'Filip Berg']","['Comedy', 'Drama', 'Romance']",Swedish,Sweden,1h 56min,PG-13,30 September 2016 ,70.0,,Music Box Films
tt2334873,Blue Jasmine,['Woody Allen'],['Woody Allen'],"['Cate Blanchett', 'Alec Baldwin', 'Peter Sarsgaard']",['Drama'],English,USA,1h 38min,PG-13,23 August 2013 ,78.0,18000000.0,Sony Pictures Classics
tt0081150,Melvin and Howard,['Jonathan Demme'],['Bo Goldman'],"['Paul Le Mat', 'Jason Robards', 'Elizabeth Cheshire']","['Comedy', 'Drama']",English,USA,1h 35min,R,19 September 1980 ,,7000000.0,Universal Pictures
tt0100405,Pretty Woman,['Garry Marshall'],['J.F. Lawton'],"['Richard Gere', 'Julia Roberts', 'Jason Alexander']","['Comedy', 'Romance']",English,USA,1h 59min,R,23 March 1990 ,51.0,14000000.0,Buena Vista Pictures
tt0079522,Manhattan,['Woody Allen'],"['Woody Allen', 'Marshall Brickman']","['Woody Allen', 'Diane Keaton', 'Mariel Hemingway']","['Comedy', 'Drama', 'Romance']",English,USA,1h 36min,R,25 April 1979 ,83.0,9000000.0,United Artists
tt0102753,Rambling Rose,['Martha Coolidge'],"['Calder Willingham', 'Calder Willingham']","['Laura Dern', 'Robert Duvall', 'Diane Ladd']",['Drama'],English,USA,1h 52min,R,20 September 1991 ,,7500000.0,Seven Arts
tt0097276,"Enemies, A Love Story",['Paul Mazursky'],"['Isaac Bashevis Singer', 'Roger L. Simon', '1 more credit']","['Ron Silver', 'Anjelica Huston', 'Lena Olin']","['Comedy', 'Drama', 'Romance']",English,USA,1h 59min,R,13 December 1989 ,,9500000.0,Twentieth Century Fox
tt0488478,12,['Nikita Mikhalkov'],"['Nikita Mikhalkov', 'Aleksandr Novototskiy-Vlasov', '2 more credits']","['Sergey Makovetskiy', 'Sergey Garmash', 'Apti Magamaev']","['Crime', 'Drama', 'Thriller']",Russian,Russia,2h 39min,PG-13,20 September 2007 ,72.0,4000000.0,Sony Pictures Classics
tt0084591,"Reuben, Reuben",['Robert Ellis Miller'],"['Peter De Vries', 'Herman Shumlin', '1 more credit']","['Tom Conti', 'Kelly McGillis', 'Roberts Blossom']","['Comedy', 'Drama', 'Romance']",English,USA,1h 41min,R,16 December 1983 ,,3500000.0,20th Century Fox International Classics
tt0090223,Twice in a Lifetime,['Bud Yorkin'],['Colin Welland'],"['Gene Hackman', 'Ann-Margret', 'Ellen Burstyn']","['Drama', 'Romance']",English,USA,1h 51min,R,8 November 1985 ,58.0,8000000.0,Bud Yorkin Productions
tt1235166,A Prophet,['Jacques Audiard'],"['Thomas Bidegain', 'Jacques Audiard', '2 more credits']","['Tahar Rahim', 'Niels Arestrup', 'Adel Bencherif']","['Crime', 'Drama']",French,France,2h 35min,R,26 March 2010 ,90.0,13000000.0,Sony Pictures Classics
tt3808342,Son of Saul,['László Nemes'],"['László Nemes', 'Clara Royer']","['Géza Röhrig', 'Levente Molnár', 'Urs Rechn']","['Drama', 'War']",Hungarian,Hungary,1h 47min,R,11 June 2015 ,91.0,,Sony Pictures Classics
tt0449059,Little Miss Sunshine,"['Jonathan Dayton', 'Valerie Faris']",['Michael Arndt'],"['Steve Carell', 'Toni Collette', 'Greg Kinnear']","['Comedy', 'Drama']",English,USA,1h 41min,R,18 August 2006 ,80.0,8000000.0,Fox Searchlight Pictures
tt0110932,Quiz Show,['Robert Redford'],"['Paul Attanasio', 'Richard N. Goodwin']","['Ralph Fiennes', 'John Turturro', 'Rob Morrow']","['Biography', 'Drama', 'History']",English,USA,2h 13min,PG-13,7 October 1994 ,92.0,31000000.0,Buena Vista Pictures
tt0139654,Training Day,['Antoine Fuqua'],['David Ayer'],"['Denzel Washington', 'Ethan Hawke', 'Scott Glenn']","['Crime', 'Drama', 'Thriller']",English,USA,2h 2min,R,5 October 2001 ,69.0,45000000.0,Warner Bros.
tt0110882,Before the Rain,['Milcho Manchevski'],['Milcho Manchevski'],"['Katrin Cartlidge', 'Rade Serbedzija', 'Grégoire Colin']","['Drama', 'War']",Macedonian,Republic of North Macedonia,1h 53min,Not Rated,24 February 1995 ,,1900000.0,Gramercy Pictures
tt0093105,"Good Morning, Vietnam",['Barry Levinson'],['Mitch Markowitz'],"['Robin Williams', 'Forest Whitaker', 'Tom. T. Tran']","['Biography', 'Comedy', 'Drama', 'War']",English,USA,2h 1min,R,15 January 1988 ,67.0,13000000.0,Buena Vista Pictures
