,IMDBId,movie title,director(s),writer(s),casts,genre(s),language,country,runtime (mins),mpaarating,release date,metacritic score,budget,distributionCompany,,,,,,,,,,,,,
242,tt0117477,Ridicule,['Patrice Leconte'],"['Rémi Waterhouse', 'Michel Fessler', '2 more credits']","['Charles Berling', 'Jean Rochefort', 'Fanny Ardant']","['Comedy', 'Drama', 'History', 'Romance']",French,France,1h 42min,R,22-Nov-96,,,Miramax,,,,,,,,,,,,,
243,tt0094947,Dangerous Liaisons,['Stephen Frears'],"['Christopher Hampton', 'Choderlos de Laclos', '1 more credit']","['Glenn Close', 'John Malkovich', 'Michelle Pfeiffer']","['Drama', 'Romance']",English,USA,1h 59min,R,24-Feb-89,74,14000000,Warner Bros.,,,,,,,,,,,,,
244,tt0208874,The Contender,['Rod Lurie'],['Rod Lurie'],"['Joan Allen', 'Gary Oldman', 'Jeff Bridges']","['Drama', 'Thriller']",English,USA,2h 6min,R,13-Oct-00,59,20000000,DreamWorks Distribution,,,,,,,,,,,,,
245,tt0113819,Mighty Aphrodite,['Woody Allen'],['Woody Allen'],"['Woody Allen', 'Mira Sorvino', 'Pamela Blair']","['Comedy', 'Fantasy', 'Romance']",English,USA,1h 35min,R,10-Nov-95,59,15000000,Miramax,,,,,,,,,,,,,
246,tt0086561,Voenno-polevoy roman,['Pyotr Todorovskiy'],['Pyotr Todorovskiy'],"['Nikolay Burlyaev', 'Natalya Andreychenko', 'Inna Churikova']","['Drama', 'Romance']",Russian,Soviet Union,1h 32min,1h 32min,,,,,,,,,,,,,,,,,
247,tt0095675,Women on the Verge of a Nervous Breakdown,['Pedro Almodóvar'],['Pedro Almodóvar'],"['Carmen Maura', 'Antonio Banderas', 'Julieta Serrano']","['Comedy', 'Drama']",Spanish,Spain,1h 28min,R,11-Nov-88,85,700000,Orion Classics,,,,,,,,,,,,,
248,tt5639354,A Fantastic Woman,['Sebastián Lelio'],"['Sebastián Lelio', 'Gonzalo Maza']","['Daniela Vega', 'Francisco Reyes', 'Luis Gnecco']",['Drama'],Spanish,Chile,1h 44min,R,2-Feb-18,86,,Sony Pictures Classics,,,,,,,,,,,,,
249,tt0115988,The Crucible,['Nicholas Hytner'],"['Arthur Miller', 'Arthur Miller']","['Daniel Day-Lewis', 'Winona Ryder', 'Paul Scofield']","['Drama', 'History']",English,USA,2h 4min,PG-13,27-Nov-96,,25000000,Twentieth Century Fox,,,,,,,,,,,,,
250,tt0203119,Sexy Beast,['Jonathan Glazer'],"['Louis Mellis', 'David Scinto']","['Ray Winstone', 'Ben Kingsley', 'Ian McShane']","['Crime', 'Drama', 'Thriller']",English,UK,1h 29min,R,13-Jul-01,79,,Twentieth Century Fox,,,,,,,,,,,,,
251,tt0101507,Boyz n the Hood,['John Singleton'],['John Singleton'],"['Cuba Gooding Jr.', 'Laurence Fishburne', 'Hudhail Al-Amir']","['Crime', 'Drama']",English,USA,1h 52min,R,12-Jul-91,76,6500000,Columbia Pictures,,,,,,,,,,,,,
252,tt1010048,Slumdog Millionaire,"['Danny Boyle', 'Loveleen Tandan']","['Simon Beaufoy', 'Vikas Swarup']","['Dev Patel', 'Freida Pinto', 'Saurabh Shukla']","['Drama', 'Romance']",English,UK,2h,R,25-Dec-08,84,15000000,Fox Searchlight Pictures,,,,,,,,,,,,,
253,tt0107207,In the Name of the Father,['Jim Sheridan'],"['Gerry Conlon', 'Terry George', '1 more credit']","['Daniel Day-Lewis', 'Pete Postlethwaite', 'Alison Crosbie']","['Biography', 'Drama']",English,Ireland,2h 13min,R,25-Feb-94,84,13000000,Universal Pictures,,,,,,,,,,,,,
254,tt0082971,Raiders of the Lost Ark,['Steven Spielberg'],"['Lawrence Kasdan', 'George Lucas', '1 more credit']","['Harrison Ford', 'Karen Allen', 'Paul Freeman']","['Action', 'Adventure']",English,USA,1h 55min,PG,12-Jun-81,85,18000000,Paramount Pictures,,,,,,,,,,,,,
255,tt0120382,The Truman Show,['Peter Weir'],['Andrew Niccol'],"['Jim Carrey', 'Ed Harris', 'Laura Linney']","['Comedy', 'Drama', 'Sci-Fi']",English,USA,1h 43min,PG,5-Jun-98,90,60000000,Paramount Pictures,,,,,,,,,,,,,
256,tt3224458,A Beautiful Day in the Neighborhood,['Marielle Heller'],"['Micah Fitzerman-Blue', 'Noah Harpster', '1 more credit']","['Tom Hanks', 'Matthew Rhys', 'Chris Cooper']","['Biography', 'Drama']",English,China,1h 49min,PG,22-Nov-19,80,25000000,TriStar Pictures,,,,,,,,,,,,,
257,tt0103939,Chaplin,['Richard Attenborough'],"['David Robinson', 'Charles Chaplin', '4 more credits']","['Robert Downey Jr.', 'Geraldine Chaplin', 'Paul Rhys']","['Biography', 'Comedy', 'Drama']",English,UK,2h 23min,PG-13,8-Jan-93,47,31000000,TriStar Pictures,,,,,,,,,,,,,
258,tt1100089,Foxcatcher,['Bennett Miller'],"['E. Max Frye', 'Dan Futterman']","['Steve Carell', 'Channing Tatum', 'Mark Ruffalo']","['Biography', 'Drama', 'Sport']",English,USA,2h 14min,R,16-Jan-15,81,24000000,Sony Pictures Releasing,,,,,,,,,,,,,
259,tt0138097,Shakespeare in Love,['John Madden'],"['Marc Norman', 'Tom Stoppard']","['Gwyneth Paltrow', 'Joseph Fiennes', 'Geoffrey Rush']","['Comedy', 'Drama', 'History', 'Romance']",English,USA,2h 3min,R,8-Jan-99,87,25000000,Miramax,,,,,,,,,,,,,
260,tt0079948,Starting Over,['Alan J. Pakula'],"['Dan Wakefield', 'James L. Brooks']","['Burt Reynolds', 'Jill Clayburgh', 'Candice Bergen']","['Comedy', 'Romance']",English,USA,1h 45min,R,5-Oct-79,64,,Paramount Pictures,,,,,,,,,,,,,
261,tt0093664,Oci ciornie,['Nikita Mikhalkov'],"['Aleksandr Adabashyan', 'Nikita Mikhalkov', '2 more credits']","['Marcello Mastroianni', 'Silvana Mangano', 'Marthe Keller']","['Comedy', 'Romance', 'Drama']",Italian,Italy,1h 58min,1h 58min,,,,Island Pictures,,,,,,,,,,,,,
262,tt0108052,Schindler's List,['Steven Spielberg'],"['Thomas Keneally', 'Steven Zaillian']","['Liam Neeson', 'Ralph Fiennes', 'Ben Kingsley']","['Biography', 'Drama', 'History']",English,USA,3h 15min,R,4-Feb-94,94,22000000,Universal Pictures,,,,,,,,,,,,,
263,tt0375063,Sideways,['Alexander Payne'],"['Rex Pickett', 'Alexander Payne', '1 more credit']","['Paul Giamatti', 'Thomas Haden Church', 'Virginia Madsen']","['Comedy', 'Drama', 'Romance']",English,USA,2h 7min,R,21-Jan-05,94,16000000,Fox Searchlight Pictures,,,,,,,,,,,,,
264,tt0086312,Silkwood,['Mike Nichols'],"['Nora Ephron', 'Alice Arlen']","['Meryl Streep', 'Kurt Russell', 'Cher']","['Biography', 'Drama', 'History', 'Thriller']",English,USA,2h 11min,R,27-Jan-84,64,10000000,Twentieth Century Fox,,,,,,,,,,,,,
265,tt0120520,The Wings of the Dove,['Iain Softley'],"['Henry James', 'Hossein Amini']","['Helena Bonham Carter', 'Linus Roache', 'Alex Jennings']","['Drama', 'Romance']",English,USA,1h 42min,R,13-Mar-98,73,,Miramax,,,,,,,,,,,,,
266,tt0106966,Strawberry and Chocolate,"['Tomás Gutiérrez Alea', 'Juan Carlos Tabío']","['Tomás Gutiérrez Alea', 'Senel Paz', '1 more credit']","['Jorge Perugorría', 'Vladimir Cruz', 'Mirta Ibarra']","['Comedy', 'Drama', 'Romance']",Spanish,Cuba,1h 48min,R,20-Jan-95,,,Miramax,,,,,,,,,,,,,
267,tt6966692,Green Book,['Peter Farrelly'],"['Nick Vallelonga', 'Brian Hayes Currie', '1 more credit']","['Viggo Mortensen', 'Mahershala Ali', 'Linda Cardellini']","['Biography', 'Comedy', 'Drama', 'Music']",English,USA,2h 10min,PG-13,16-Nov-18,69,23000000,Universal Pictures,,,,,,,,,,,,,
268,tt0407887,The Departed,['Martin Scorsese'],"['William Monahan', 'Alan Mak', '1 more credit']","['Leonardo DiCaprio', 'Matt Damon', 'Jack Nicholson']","['Crime', 'Drama', 'Thriller']",English,USA,2h 31min,R,6-Oct-06,85,90000000,Warner Bros.,,,,,,,,,,,,,
269,tt0408236,Sweeney Todd: The Demon Barber of Fleet Street,['Tim Burton'],"['John Logan', 'Hugh Wheeler', '1 more credit']","['Johnny Depp', 'Helena Bonham Carter', 'Alan Rickman']","['Drama', 'Horror', 'Musical', 'Thriller']",English,USA,1h 56min,R,21-Dec-07,83,50000000,Paramount Pictures,,,,,,,,,,,,,
270,tt0209037,Everybody's Famous!,['Dominique Deruddere'],['Dominique Deruddere'],"['Josse De Pauw', 'Eva van der Gucht', 'Werner De Smedt']","['Comedy', 'Drama', 'Music']",Dutch,Belgium,1h 37min,R,12-Apr-00,60,,Miramax,,,,,,,,,,,,,
271,tt0114808,The Star Maker,['Giuseppe Tornatore'],"['Giuseppe Tornatore', 'Fabio Rinaudo', '1 more credit']","['Sergio Castellitto', 'Tiziana Lodato', 'Franco Scaldati']","['Drama', 'Romance']",Italian,Italy,1h 53min,R,8-Mar-96,,,Miramax,,,,,,,,,,,,,
272,tt0078875,The Tin Drum,['Volker Schlöndorff'],"['Günter Grass', 'Jean-Claude Carrière', '3 more credits']","['David Bennent', 'Mario Adorf', 'Angela Winkler']","['Drama', 'War']",German,West Germany,2h 22min,R,11-Apr-80,63,,New World Pictures,,,,,,,,,,,,,
273,tt0112818,Dead Man Walking,['Tim Robbins'],"['Helen Prejean', 'Tim Robbins']","['Susan Sarandon', 'Sean Penn', 'Robert Prosky']","['Crime', 'Drama']",English,UK,2h 2min,R,2-Feb-96,80,11000000,Gramercy Pictures,,,,,,,,,,,,,
274,tt0279064,Elling,['Petter Næss'],"['Ingvar Ambjørnsen', 'Axel Hellstenius', '1 more credit']","['Per Christian Ellefsen', 'Sven Nordin', 'Marit Pia Jacobsen']","['Comedy', 'Drama']",Norwegian,Norway,1h 29min,R,16-Mar-01,70,,First Look International,,,,,,,,,,,,,
275,tt0093209,Hope and Glory,['John Boorman'],['John Boorman'],"['Sarah Miles', 'David Hayman', 'Sebastian Rice-Edwards']","['Comedy', 'Drama', 'Romance']",English,UK,1h 53min,PG-13,19-Feb-88,86,,Columbia Pictures,,,,,,,,,,,,,
276,tt0077288,La Cage aux Folles,['Édouard Molinaro'],"['Jean Poiret', 'Francis Veber', '3 more credits']","['Ugo Tognazzi', 'Michel Serrault', 'Claire Maurier']",['Comedy'],French,France,1h 37min,R,30-Mar-79,,,United Artists,,,,,,,,,,,,,
277,tt0489327,Venus,['Roger Michell'],['Hanif Kureishi'],"[""Peter O'Toole"", 'Jodie Whittaker', 'Leslie Phillips']","['Comedy', 'Drama', 'Romance']",English,UK,1h 35min,R,16-Feb-07,82,,Miramax,,,,,,,,,,,,,
278,tt0970179,Hugo,['Martin Scorsese'],"['John Logan', 'Brian Selznick']","['Asa Butterfield', 'Chloë Grace Moretz', 'Christopher Lee']","['Drama', 'Family', 'Fantasy', 'Mystery']",English,UK,2h 6min,PG,23-Nov-11,83,150000000,Paramount Pictures,,,,,,,,,,,,,
279,tt3460252,The Hateful Eight,['Quentin Tarantino'],['Quentin Tarantino'],"['Samuel L. Jackson', 'Kurt Russell', 'Jennifer Jason Leigh']","['Crime', 'Drama', 'Mystery', 'Thriller', 'Western']",English,USA,2h 48min,R,30-Dec-15,68,44000000,The Weinstein Company,,,,,,,,,,,,,
280,tt0090605,Aliens,['James Cameron'],"['James Cameron', 'David Giler', '4 more credits']","['Sigourney Weaver', 'Michael Biehn', 'Carrie Henn']","['Action', 'Adventure', 'Sci-Fi', 'Thriller']",English,USA,2h 17min,R,18-Jul-86,84,18500000,Twentieth Century Fox,,,,,,,,,,,,,
281,tt0087699,Me'Ahorei Hasoragim,['Uri Barbash'],"['Benny Barbash', 'Uri Barbash', '1 more credit']","['Arnon Zadok', 'Mohammad Bakri', 'Assi Dayan']",['Drama'],Hebrew,Israel,1h 43min,R,15-Feb-85,,,Warner Bros.,,,,,,,,,,,,,
282,tt5027774,"Three Billboards Outside Ebbing, Missouri",['Martin McDonagh'],['Martin McDonagh'],"['Frances McDormand', 'Woody Harrelson', 'Sam Rockwell']","['Comedy', 'Crime', 'Drama']",English,UK,1h 55min,R,1-Dec-17,88,15000000,Fox Searchlight Pictures,,,,,,,,,,,,,
283,tt0104257,A Few Good Men,['Rob Reiner'],"['Aaron Sorkin', 'Aaron Sorkin']","['Tom Cruise', 'Jack Nicholson', 'Demi Moore']","['Drama', 'Thriller']",English,USA,2h 18min,R,11-Dec-92,62,41000000,Columbia Pictures,,,,,,,,,,,,,
284,tt0108122,Short Cuts,['Robert Altman'],"['Raymond Carver', 'Robert Altman', '1 more credit']","['Andie MacDowell', 'Julianne Moore', 'Tim Robbins']","['Comedy', 'Drama']",English,USA,3h 8min,R,1-Oct-93,79,,Fine Line Features,,,,,,,,,,,,,
285,tt0090756,Blue Velvet,['David Lynch'],['David Lynch'],"['Isabella Rossellini', 'Kyle MacLachlan', 'Dennis Hopper']","['Drama', 'Mystery', 'Thriller']",English,USA,2h,R,23-Oct-86,76,6000000,De Laurentiis Entertainment Group,,,,,,,,,,,,,
286,tt0169102,Lagaan: Once Upon a Time in India,['Ashutosh Gowariker'],"['Ashutosh Gowariker', 'Ashutosh Gowariker', '3 more credits']","['Aamir Khan', 'Raghuvir Yadav', 'Gracy Singh']","['Adventure', 'Drama', 'Musical', 'Sport']",Hindi,India,3h 44min,PG,15-Jun-01,84,6000000,Sony Pictures Classics,,,,,,,,,,,,,
287,tt0443680,The Assassination of Jesse James by the Coward Robert Ford,['Andrew Dominik'],"['Andrew Dominik', 'Ron Hansen']","['Brad Pitt', 'Casey Affleck', 'Sam Shepard']","['Biography', 'Crime', 'Drama', 'History', 'Western']",English,USA,2h 40min,R,19-Oct-07,68,30000000,Warner Bros.,,,,,,,,,,,,,
288,tt0085461,The Dresser,['Peter Yates'],"['Ronald Harwood', 'Ronald Harwood']","['Albert Finney', 'Tom Courtenay', 'Edward Fox']",['Drama'],English,UK,1h 58min,PG,6-Dec-83,,,Columbia Pictures,,,,,,,,,,,,,
289,tt0120684,Gods and Monsters,['Bill Condon'],"['Christopher Bram', 'Bill Condon']","['Ian McKellen', 'Brendan Fraser', 'Lynn Redgrave']","['Biography', 'Drama']",English,USA,1h 45min,R,4-Nov-98,74,10000000,Lions Gate Films,,,,,,,,,,,,,
290,tt0181865,Traffic,['Steven Soderbergh'],"['Simon Moore', 'Stephen Gaghan']","['Michael Douglas', 'Benicio Del Toro', 'Catherine Zeta-Jones']","['Crime', 'Drama', 'Thriller']",English,USA,2h 27min,R,5-Jan-01,86,48000000,USA Films,,,,,,,,,,,,,
291,tt0171804,Boys Don't Cry,['Kimberly Peirce'],"['Kimberly Peirce', 'Andy Bienen']","['Hilary Swank', 'Chloë Sevigny', 'Peter Sarsgaard']","['Biography', 'Crime', 'Drama', 'Romance']",English,USA,1h 58min,R,31-Mar-00,86,2000000,Fox Searchlight Pictures,,,,,,,,,,,,,
292,tt0091738,Peggy Sue Got Married,['Francis Ford Coppola'],"['Jerry Leichtling', 'Arlene Sarner']","['Kathleen Turner', 'Nicolas Cage', 'Barry Miller']","['Comedy', 'Drama', 'Fantasy', 'Romance']",English,USA,1h 43min,PG-13,10-Oct-86,74,18000000,TriStar Pictures,,,,,,,,,,,,,
293,tt0104403,Hedd Wyn,['Paul Turner'],['Alan Llwyd'],"['Huw Garmon', 'Catrin Fychan', 'Ceri Cunnington']","['Drama', 'Romance', 'War']",Welsh,UK,2h 3min,Unrated,12-Jan-96,,,Northern Arts Entertainment,,,,,,,,,,,,,
294,tt0399146,A History of Violence,['David Cronenberg'],"['John Wagner', 'Vince Locke', '1 more credit']","['Viggo Mortensen', 'Maria Bello', 'Ed Harris']","['Drama', 'Thriller']",English,Canada,1h 36min,R,30-Sep-05,81,32000000,New Line Cinema,,,,,,,,,,,,,
295,tt0089424,Kiss of the Spider Woman,['Hector Babenco'],"['Manuel Puig', 'Leonard Schrader']","['William Hurt', 'Raul Julia', 'Sônia Braga']",['Drama'],English,Brazil,2h,R,26-Jul-85,80,,Island Pictures,,,,,,,,,,,,,
296,tt3203606,Trumbo,['Jay Roach'],"['John McNamara', 'Bruce Cook']","['Bryan Cranston', 'Diane Lane', 'Helen Mirren']","['Biography', 'Drama']",English,USA,2h 4min,R,27-Nov-15,60,15000000,Bleecker Street Media,,,,,,,,,,,,,
297,tt0117666,Sling Blade,['Billy Bob Thornton'],"['Billy Bob Thornton', 'Billy Bob Thornton']","['Billy Bob Thornton', 'Dwight Yoakam', 'J.T. Walsh']",['Drama'],English,USA,2h 15min,R,14-Mar-97,84,1000000,Miramax,,,,,,,,,,,,,
298,tt1173745,Revanche,['Götz Spielmann'],['Götz Spielmann'],"['Johannes Krisch', 'Irina Potapenko', 'Andreas Lust']","['Crime', 'Drama', 'Romance', 'Thriller']",German,Austria,2h 1min,Not Rated,16-May-08,84,,Janus Films,,,,,,,,,,,,,
299,tt3966404,Mustang,['Deniz Gamze Ergüven'],"['Deniz Gamze Ergüven', 'Alice Winocour']","['Günes Sensoy', 'Doga Zeynep Doguslu', 'Tugba Sunguroglu']",['Drama'],Turkish,Turkey,1h 37min,PG-13,17-Jun-15,83,,Cohen Media Group,,,,,,,,,,,,,
300,tt0104348,Glengarry Glen Ross,['James Foley'],"['David Mamet', 'David Mamet']","['Al Pacino', 'Jack Lemmon', 'Alec Baldwin']","['Crime', 'Drama', 'Mystery']",English,USA,1h 40min,R,2-Oct-92,82,12500000,New Line Cinema,,,,,,,,,,,,,
301,tt0078868,Confidence,['István Szabó'],"['István Szabó', 'István Szabó', '1 more credit']","['Ildikó Bánsági', 'Péter Andorai', 'Oszkárné Gombik']",['Drama'],Hungarian,Hungary,1h 45min,Not Rated,10-Jan-80,,,New Yorker Films,,,,,,,,,,,,,
302,tt3682448,Bridge of Spies,['Steven Spielberg'],"['Matt Charman', 'Ethan Coen', '1 more credit']","['Tom Hanks', 'Mark Rylance', 'Alan Alda']","['Drama', 'History', 'Thriller']",English,Germany,2h 22min,PG-13,16-Oct-15,81,40000000,Walt Disney Studios Motion Pictures,,,,,,,,,,,,,
303,tt0338309,Evil,['Mikael Håfström'],"['Jan Guillou', 'Hans Gunnarsson', '1 more credit']","['Andreas Wilson', 'Henrik Lundström', 'Gustaf Skarsgård']",['Drama'],Swedish,Sweden,1h 53min,Not Rated,26-Sep-03,61,,Magnolia Pictures,,,,,,,,,,,,,
304,tt0109771,Farinelli,['Gérard Corbiau'],"['Andrée Corbiau', 'Gérard Corbiau', '4 more credits']","['Stefano Dionisi', 'Enrico Lo Verso', 'Elsa Zylberstein']","['Biography', 'Drama', 'Music']",French,France,1h 51min,R,17-Mar-95,,,Sony Pictures Classics,,,,,,,,,,,,,
305,tt0095647,Mississippi Burning,['Alan Parker'],['Chris Gerolmo'],"['Gene Hackman', 'Willem Dafoe', 'Frances McDormand']","['Crime', 'Drama', 'History', 'Mystery', 'Thriller']",English,USA,2h 8min,R,27-Jan-89,65,15000000,Orion Pictures,,,,,,,,,,,,,
306,tt1895587,Spotlight,['Tom McCarthy'],"['Josh Singer', 'Tom McCarthy']","['Mark Ruffalo', 'Michael Keaton', 'Rachel McAdams']","['Biography', 'Crime', 'Drama']",English,USA,2h 9min,R,20-Nov-15,93,20000000,Open Road Films,,,,,,,,,,,,,
307,tt0080798,Gloria,['John Cassavetes'],['John Cassavetes'],"['Gena Rowlands', 'Buck Henry', 'Julie Carmen']","['Crime', 'Drama', 'Thriller']",English,USA,2h 3min,PG,1-Oct-80,68,,Columbia Pictures,,,,,,,,,,,,,
308,tt0472062,Charlie Wilson's War,['Mike Nichols'],"['Aaron Sorkin', 'George Crile']","['Tom Hanks', 'Julia Roberts', 'Philip Seymour Hoffman']","['Biography', 'Comedy', 'Drama', 'History']",English,USA,1h 42min,R,21-Dec-07,67,75000000,Universal Pictures,,,,,,,,,,,,,
309,tt0101902,For the Boys,['Mark Rydell'],"['Neal Jimenez', 'Lindy Laub', '3 more credits']","['Bette Midler', 'James Caan', 'George Segal']","['Comedy', 'Drama', 'Music']",English,USA,2h 18min,R,27-Nov-91,,40000000,Twentieth Century Fox,,,,,,,,,,,,,
310,tt0092569,Anna,['Yurek Bogayevicz'],"['Yurek Bogayevicz', 'Agnieszka Holland', '1 more credit']","['Sally Kirkland', 'Paulina Porizkova', 'Robert Fields']",['Drama'],English,USA,1h 40min,PG-13,28-Nov-87,,,Vestron Pictures,,,,,,,,,,,,,
311,tt0383694,Vera Drake,['Mike Leigh'],['Mike Leigh'],"['Imelda Staunton', 'Jim Broadbent', 'Heather Craney']","['Crime', 'Drama']",English,UK,2h 5min,R,4-Feb-05,83,11000000,Fine Line Features,,,,,,,,,,,,,
312,tt0978759,Frozen River,['Courtney Hunt'],['Courtney Hunt'],"['Melissa Leo', 'Misty Upham', 'Charlie McDermott']","['Crime', 'Drama']",English,USA,1h 37min,R,5-Sep-08,82,1000000,Sony Pictures Classics,,,,,,,,,,,,,
313,tt0117631,Shine,['Scott Hicks'],"['Jan Sardi', 'Scott Hicks']","['Geoffrey Rush', 'Armin Mueller-Stahl', 'Justin Braine']","['Biography', 'Drama', 'Music', 'Romance']",English,Australia,1h 45min,PG-13,14-Feb-97,87,5500000,Fine Line Features,,,,,,,,,,,,,
314,tt0103791,Belle Epoque,['Fernando Trueba'],"['Rafael Azcona', 'Rafael Azcona', '2 more credits']","['Fernando Fernán Gómez', 'Jorge Sanz', 'Penélope Cruz']","['Comedy', 'Drama', 'Romance']",Spanish,Spain,1h 49min,R,25-Feb-94,,,Sony Pictures Classics,,,,,,,,,,,,,
315,tt0308644,Finding Neverland,['Marc Forster'],"['Allan Knee', 'David Magee']","['Johnny Depp', 'Kate Winslet', 'Julie Christie']","['Biography', 'Drama', 'Family']",English,USA,1h 46min,PG,17-Dec-04,67,25000000,Miramax,,,,,,,,,,,,,
316,tt0117050,Shekvarebuli kulinaris ataserti retsepti,['Nana Dzhordzhadze'],"['Irakli Kvirikadze', 'André Grall', '1 more credit']","['Pierre Richard', 'Nino Kirtadze', 'Micheline Presle']","['Comedy', 'Romance']",French,France,1h 40min,PG-13,23-Apr-97,,,Sony Pictures Classics,,,,,,,,,,,,,
317,tt1853728,Django Unchained,['Quentin Tarantino'],['Quentin Tarantino'],"['Jamie Foxx', 'Christoph Waltz', 'Leonardo DiCaprio']","['Drama', 'Western']",English,USA,2h 45min,R,25-Dec-12,81,100000000,The Weinstein Company,,,,,,,,,,,,,
318,tt0089755,Out of Africa,['Sydney Pollack'],"['Karen Blixen', 'Judith Thurman', '2 more credits']","['Meryl Streep', 'Robert Redford', 'Klaus Maria Brandauer']","['Biography', 'Drama', 'Romance']",English,USA,2h 41min,PG,20-Dec-85,69,31000000,Universal Pictures,,,,,,,,,,,,,
319,tt1045658,Silver Linings Playbook,['David O. Russell'],"['David O. Russell', 'Matthew Quick']","['Bradley Cooper', 'Jennifer Lawrence', 'Robert De Niro']","['Comedy', 'Drama', 'Romance']",English,USA,2h 2min,R,25-Dec-12,81,21000000,The Weinstein Company,,,,,,,,,,,,,
320,tt0315983,House of Sand and Fog,['Vadim Perelman'],"['Andre Dubus III', 'Vadim Perelman', '1 more credit']","['Jennifer Connelly', 'Ben Kingsley', 'Ron Eldard']","['Crime', 'Drama']",English,USA,2h 6min,R,9-Jan-04,71,16500000,DreamWorks Distribution,,,,,,,,,,,,,
321,tt0080678,The Elephant Man,['David Lynch'],"['Christopher De Vore', 'Eric Bergren', '3 more credits']","['Anthony Hopkins', 'John Hurt', 'Anne Bancroft']","['Biography', 'Drama']",English,USA,2h 4min,PG,10-Oct-80,78,5000000,Paramount Pictures,,,,,,,,,,,,,
322,tt0096969,Born on the Fourth of July,['Oliver Stone'],"['Ron Kovic', 'Oliver Stone', '1 more credit']","['Tom Cruise', 'Bryan Larkin', 'Raymond J. Barry']","['Biography', 'Drama', 'War']",English,USA,2h 25min,R,5-Jan-90,75,14000000,Universal Pictures,,,,,,,,,,,,,
323,tt0079417,Kramer vs. Kramer,['Robert Benton'],"['Avery Corman', 'Robert Benton']","['Dustin Hoffman', 'Meryl Streep', 'Jane Alexander']",['Drama'],English,USA,1h 45min,PG,19-Dec-79,77,8000000,Columbia Pictures,,,,,,,,,,,,,
324,tt1149362,The White Ribbon,['Michael Haneke'],"['Michael Haneke', 'Michael Haneke']","['Christian Friedel', 'Ernst Jacobi', 'Leonie Benesch']","['Drama', 'History', 'Mystery', 'Thriller']",Latin,Germany,2h 24min,R,5-Mar-10,82,18000000,Sony Pictures Classics,,,,,,,,,,,,,
325,tt0340012,Being Julia,['István Szabó'],"['W. Somerset Maugham', 'Ronald Harwood']","['Annette Bening', 'Michael Gambon', 'Maury Chaykin']","['Comedy', 'Drama', 'Romance']",English,Canada,1h 44min,R,18-Feb-05,65,18000000,Sony Pictures Classics,,,,,,,,,,,,,
326,tt0405159,Million Dollar Baby,['Clint Eastwood'],"['Paul Haggis', 'F.X. Toole']","['Hilary Swank', 'Clint Eastwood', 'Morgan Freeman']","['Drama', 'Sport']",English,USA,2h 12min,PG-13,28-Jan-05,86,30000000,Warner Bros.,,,,,,,,,,,,,
327,tt2737050,"Two Days, One Night","['Jean-Pierre Dardenne', 'Luc Dardenne']","['Jean-Pierre Dardenne', 'Luc Dardenne']","['Marion Cotillard', 'Fabrizio Rongione', 'Catherine Salée']",['Drama'],French,Belgium,1h 35min,PG-13,21-May-14,89,,Sundance Selects,,,,,,,,,,,,,
328,tt0119396,Jackie Brown,['Quentin Tarantino'],"['Quentin Tarantino', 'Elmore Leonard']","['Pam Grier', 'Samuel L. Jackson', 'Robert Forster']","['Crime', 'Drama', 'Thriller']",English,USA,2h 34min,R,25-Dec-97,64,12000000,Miramax,,,,,,,,,,,,,
329,tt0245157,Zus & zo,['Paula van der Oest'],['Paula van der Oest'],"['Sylvia Poorta', 'Anneke Blok', 'Monic Hendrickx']","['Comedy', 'Fantasy', 'Romance']",Dutch,Netherlands,1h 46min,Unrated,8-May-02,50,,Lifesize Entertainment,,,,,,,,,,,,,
330,tt0083967,Frances,['Graeme Clifford'],"['Eric Bergren', 'Christopher De Vore', '1 more credit']","['Jessica Lange', 'Sam Shepard', 'Kim Stanley']","['Biography', 'Drama', 'Romance']",English,USA,2h 20min,R,11-Mar-83,48,,Universal Pictures,,,,,,,,,,,,,
331,tt0450188,La Vie En Rose,['Olivier Dahan'],"['Isabelle Sobelman', 'Olivier Dahan']","['Marion Cotillard', 'Sylvie Testud', 'Pascal Greggory']","['Biography', 'Drama', 'Music', 'Romance']",French,France,2h 20min,PG-13,20-Jul-07,66,25000000,Picturehouse,,,,,,,,,,,,,
332,tt0258068,The Quiet American,['Phillip Noyce'],"['Graham Greene', 'Christopher Hampton', '1 more credit']","['Michael Caine', 'Brendan Fraser', 'Thi Hai Yen Do']","['Drama', 'Romance', 'Thriller', 'War']",English,UK,1h 41min,R,7-Mar-03,84,30000000,Miramax,,,,,,,,,,,,,
333,tt0085380,Cross Creek,['Martin Ritt'],"['Marjorie Kinnan Rawlings', 'Dalene Young']","['Mary Steenburgen', 'Rip Torn', 'Peter Coyote']","['Biography', 'Drama', 'Romance']",English,USA,2h 7min,PG,27-Oct-83,,,Associated Film Distribution,,,,,,,,,,,,,
334,tt1504320,The King's Speech,['Tom Hooper'],['David Seidler'],"['Colin Firth', 'Geoffrey Rush', 'Helena Bonham Carter']","['Biography', 'Drama', 'History']",English,UK,1h 58min,R,25-Dec-10,88,15000000,The Weinstein Company,,,,,,,,,,,,,
